date,label,month,quarter,sourceDataset,updateDate,value,year
1993 Q2,1993 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,165,1993
1993 Q3,1993 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,166,1993
1993 Q4,1993 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,164,1993
1994 Q1,1994 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,169,1994
1994 Q2,1994 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,146,1994
1994 Q3,1994 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,155,1994
1994 Q4,1994 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,147,1994
1995 Q1,1995 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,133,1995
1995 Q2,1995 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,128,1995
1995 Q3,1995 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,128,1995
1995 Q4,1995 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,115,1995
1996 Q1,1996 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,119,1996
1996 Q2,1996 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,119,1996
1996 Q3,1996 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,109,1996
1996 Q4,1996 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,115,1996
1997 Q1,1997 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,107,1997
1997 Q2,1997 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,106,1997
1997 Q3,1997 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,79,1997
1997 Q4,1997 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,87,1997
1998 Q1,1998 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,94,1998
1998 Q2,1998 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,85,1998
1998 Q3,1998 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,77,1998
1998 Q4,1998 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,77,1998
1999 Q1,1999 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,88,1999
1999 Q2,1999 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,76,1999
1999 Q3,1999 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,78,1999
1999 Q4,1999 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,76,1999
2000 Q1,2000 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,80,2000
2000 Q2,2000 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,85,2000
