date,label,month,quarter,sourceDataset,updateDate,value,year
1946 Q1,1946 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-37,1946
1946 Q2,1946 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-40,1946
1946 Q3,1946 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-39,1946
1946 Q4,1946 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-38,1946
1947 Q1,1947 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-76,1947
1947 Q2,1947 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-76,1947
1947 Q3,1947 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-76,1947
1947 Q4,1947 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-76,1947
1948 Q1,1948 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-88,1948
1948 Q2,1948 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-62,1948
1948 Q3,1948 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-61,1948
1948 Q4,1948 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-59,1948
1949 Q1,1949 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-61,1949
1949 Q2,1949 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-67,1949
1949 Q3,1949 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-66,1949
1949 Q4,1949 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-63,1949
1950 Q1,1950 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-83,1950
1950 Q2,1950 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-76,1950
1950 Q3,1950 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-75,1950
1950 Q4,1950 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-77,1950
1951 Q1,1951 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-100,1951
1951 Q2,1951 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-90,1951
1951 Q3,1951 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-90,1951
1951 Q4,1951 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-86,1951
1952 Q1,1952 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-117,1952
1952 Q2,1952 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-108,1952
1952 Q3,1952 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-108,1952
1952 Q4,1952 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-112,1952
1953 Q1,1953 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-126,1953
1953 Q2,1953 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-112,1953
1953 Q3,1953 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-113,1953
1953 Q4,1953 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-112,1953
1954 Q1,1954 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-115,1954
1954 Q2,1954 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-107,1954
1954 Q3,1954 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-106,1954
1954 Q4,1954 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-104,1954
1955 Q1,1955 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-103,1955
1955 Q2,1955 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-125,1955
1955 Q3,1955 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-96,1955
1955 Q4,1955 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-113,1955
1956 Q1,1956 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-114,1956
1956 Q2,1956 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-120,1956
1956 Q3,1956 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-84,1956
1956 Q4,1956 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-109,1956
1957 Q1,1957 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-99,1957
1957 Q2,1957 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-109,1957
1957 Q3,1957 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-81,1957
1957 Q4,1957 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-93,1957
1958 Q1,1958 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-87,1958
1958 Q2,1958 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-98,1958
1958 Q3,1958 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-69,1958
1958 Q4,1958 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-93,1958
1959 Q1,1959 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-90,1959
1959 Q2,1959 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-97,1959
1959 Q3,1959 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-75,1959
1959 Q4,1959 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-86,1959
1960 Q1,1960 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-81,1960
1960 Q2,1960 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-85,1960
1960 Q3,1960 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-70,1960
1960 Q4,1960 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-92,1960
1961 Q1,1961 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-132,1961
1961 Q2,1961 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-105,1961
1961 Q3,1961 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-133,1961
1961 Q4,1961 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-114,1961
1962 Q1,1962 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-165,1962
1962 Q2,1962 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-137,1962
1962 Q3,1962 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-127,1962
1962 Q4,1962 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-129,1962
1963 Q1,1963 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-101,1963
1963 Q2,1963 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-139,1963
1963 Q3,1963 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-173,1963
1963 Q4,1963 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-158,1963
1964 Q1,1964 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-164,1964
1964 Q2,1964 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-180,1964
1964 Q3,1964 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-199,1964
1964 Q4,1964 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-185,1964
1965 Q1,1965 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-212,1965
1965 Q2,1965 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-158,1965
1965 Q3,1965 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-237,1965
1965 Q4,1965 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-230,1965
1966 Q1,1966 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-245,1966
1966 Q2,1966 Q2,,Q2,PUSF,2019-05-21T23:00:00.000Z,-180,1966
1966 Q3,1966 Q3,,Q3,PUSF,2019-05-21T23:00:00.000Z,-232,1966
1966 Q4,1966 Q4,,Q4,PUSF,2019-05-21T23:00:00.000Z,-245,1966
1967 Q1,1967 Q1,,Q1,PUSF,2019-05-21T23:00:00.000Z,-319,1967
