dt,Fuel Ethanol
2014-10-19T00:00:00,15.749403187302402
2014-10-26T00:00:00,13.88944589265424
2014-11-02T00:00:00,13.21463897131554
2014-11-09T00:00:00,16.841549528146228
2014-11-16T00:00:00,14.930716700921565
2014-11-23T00:00:00,13.646651577686054
2014-11-30T00:00:00,14.314996032795557
2014-12-07T00:00:00,14.901605385810468
2014-12-14T00:00:00,13.017599999999984
2014-12-21T00:00:00,12.484035759897827
2014-12-28T00:00:00,16.121165447310993
2015-01-04T00:00:00,16.774073615069995
2015-01-11T00:00:00,25.81788779698968
2015-01-18T00:00:00,19.79668586202843
2015-01-25T00:00:00,21.84620836286324
2015-02-01T00:00:00,25.371886014696223
2015-02-08T00:00:00,23.871761809869895
2015-02-15T00:00:00,22.56001860140673
2015-02-22T00:00:00,26.84445488721805
2015-03-01T00:00:00,29.600866895430734
2015-03-08T00:00:00,33.096555192356035
2015-03-15T00:00:00,36.28330169535905
2015-03-22T00:00:00,36.18475691560723
2015-03-29T00:00:00,29.429921259842516
2015-04-05T00:00:00,24.843054793685624
2015-04-12T00:00:00,29.41950852557673
2015-04-19T00:00:00,29.20450417726115
2015-04-26T00:00:00,20.828491749941904
2015-05-03T00:00:00,21.131855309218196
2015-05-10T00:00:00,17.321696913651596
2015-05-17T00:00:00,20.270747498528575
2015-05-24T00:00:00,14.912230544913951
2015-05-31T00:00:00,9.96164383561644
2015-06-07T00:00:00,9.901205080881548
2015-06-14T00:00:00,16.067226890756302
2015-06-21T00:00:00,9.112907661002033
2015-06-28T00:00:00,7.295099978026798
2015-07-05T00:00:00,8.503773378540957
2015-07-12T00:00:00,10.002786291446064
2015-07-19T00:00:00,9.024526198439231
2015-07-26T00:00:00,5.708290740840383
2015-08-02T00:00:00,5.361445783132535
2015-08-09T00:00:00,4.32995495495494
2015-08-16T00:00:00,1.6985370664621025
2015-08-23T00:00:00,7.570595368712829
2015-08-30T00:00:00,7.519945679850615
2015-09-06T00:00:00,3.445979690361245
2015-09-13T00:00:00,-2.733315607551179
2015-09-20T00:00:00,1.6566265060240948
2015-09-27T00:00:00,-0.24431697471850589
2015-10-04T00:00:00,0.863224491984349
2015-10-11T00:00:00,3.2686859882327113
2015-10-18T00:00:00,5.195094760312147
2015-10-25T00:00:00,7.242209049826864
2015-11-01T00:00:00,9.348243928009792
2015-11-08T00:00:00,6.489692177351047
2015-11-15T00:00:00,11.04124603403518
2015-11-22T00:00:00,14.966026241799435
2015-11-29T00:00:00,15.663138411706857
2015-12-06T00:00:00,11.712676056338033
2015-12-13T00:00:00,15.080129112633788
2015-12-20T00:00:00,15.73658813511214
2015-12-27T00:00:00,11.45130982646181
2016-01-03T00:00:00,11.960732289732023
2016-01-10T00:00:00,5.516832270502747
2016-01-17T00:00:00,7.617599450630297
2016-01-24T00:00:00,3.9018952062430223
2016-01-31T00:00:00,6.556752120461251
2016-02-07T00:00:00,8.616039744499627
2016-02-14T00:00:00,10.121419085562522
2016-02-21T00:00:00,6.997314068722793
2016-02-28T00:00:00,5.091044221479013
2016-03-06T00:00:00,10.078874037689523
2016-03-13T00:00:00,9.7646493756004
2016-03-20T00:00:00,5.638692123657174
2016-03-27T00:00:00,12.045554095488376
2016-04-03T00:00:00,8.450910511155584
2016-04-10T00:00:00,8.098813271978699
2016-04-17T00:00:00,3.2986599194077426
2016-04-24T00:00:00,4.000577006298989
2016-05-01T00:00:00,6.930931509488492
2016-05-08T00:00:00,4.6948125523424755
2016-05-15T00:00:00,3.2739551727513083
2016-05-22T00:00:00,3.5627208041000946
2016-05-29T00:00:00,3.493123380506269
2016-06-05T00:00:00,-0.10372419243306341
2016-06-12T00:00:00,2.2395984168355865
2016-06-19T00:00:00,6.4012096774193505
2016-06-26T00:00:00,8.370878558263373
2016-07-03T00:00:00,8.648757623103664
2016-07-10T00:00:00,7.046605876393119
2016-07-17T00:00:00,8.170151848254005
2016-07-24T00:00:00,3.776465798045603
2016-07-31T00:00:00,7.089765580331631
2016-08-07T00:00:00,10.421501430190517
2016-08-14T00:00:00,10.04256236194172
2016-08-21T00:00:00,11.751127335194322
2016-08-28T00:00:00,10.125249973686978
2016-09-04T00:00:00,10.792833386975653
2016-09-11T00:00:00,10.475097042261217
2016-09-18T00:00:00,5.9047619047619015
2016-09-25T00:00:00,9.562346927909694
2016-10-02T00:00:00,7.256006804167536
2016-10-09T00:00:00,2.3422663009073696
2016-10-16T00:00:00,0.6782534972445964
2016-10-23T00:00:00,9.007825753844468
2016-10-30T00:00:00,5.140087354852452
2016-11-06T00:00:00,1.9889678582794001
2016-11-13T00:00:00,-3.3248480440542183
2016-11-20T00:00:00,-3.439139960258808
2016-11-27T00:00:00,-7.746161924288641
2016-12-04T00:00:00,-6.551011145292252
2016-12-11T00:00:00,-6.131286290719407
2016-12-18T00:00:00,-6.509049884730478
2016-12-25T00:00:00,-7.353962114450063
2017-01-01T00:00:00,-11.47447746338689
2017-01-08T00:00:00,-6.259077067228858
2017-01-15T00:00:00,-3.7602552415679225
2017-01-22T00:00:00,1.3621944392610663
2017-01-29T00:00:00,-2.20016098738931
2017-02-05T00:00:00,-3.7942150200383273
2017-02-12T00:00:00,-3.092428288396931
2017-02-19T00:00:00,-1.8870374377840338
2017-02-26T00:00:00,2.0641796322489414
2017-03-05T00:00:00,-1.935040974814417
2017-03-12T00:00:00,-0.38069400078766247
2017-03-19T00:00:00,0.337492783871407
2017-03-26T00:00:00,1.020762748675197
2017-04-02T00:00:00,6.711983433870539
2017-04-09T00:00:00,2.6258009589102516
2017-04-16T00:00:00,4.481538601106783
2017-04-23T00:00:00,7.582412501733771
2017-04-30T00:00:00,4.558353227332113
2017-05-07T00:00:00,8.483907396950885
2017-05-14T00:00:00,10.951049613798979
2017-05-21T00:00:00,8.989573824052277
2017-05-28T00:00:00,9.600847416823166
2017-06-04T00:00:00,8.687268232385659
2017-06-11T00:00:00,6.420545746388462
2017-06-18T00:00:00,5.542396968261487
2017-06-25T00:00:00,3.170028818443793
2017-07-02T00:00:00,0.06494410168391695
2017-07-09T00:00:00,0.23661918508353086
2017-07-16T00:00:00,4.632036678167983
2017-07-23T00:00:00,5.586071603727305
2017-07-30T00:00:00,1.2085618599233072
2017-08-06T00:00:00,4.3352883675464415
2017-08-13T00:00:00,6.8690330477356065
2017-08-20T00:00:00,3.324206177643263
2017-08-27T00:00:00,1.8015865430564881
2017-09-03T00:00:00,2.236854846518832
2017-09-10T00:00:00,4.577621616271599
2017-09-17T00:00:00,5.605515587529997
2017-09-24T00:00:00,0.7872485178345823
2017-10-01T00:00:00,6.779997026317108
2017-10-08T00:00:00,10.94329896907218
2017-10-15T00:00:00,13.05263157894736
2017-10-22T00:00:00,5.597670565791457
2017-10-29T00:00:00,8.789705658847957
2017-11-05T00:00:00,11.004212387539658
2017-11-12T00:00:00,15.519372346713944
2017-11-19T00:00:00,15.53925707049386
2017-11-26T00:00:00,19.492627927146565
2017-12-03T00:00:00,21.66216945493793
2017-12-10T00:00:00,17.288739777731177
2017-12-17T00:00:00,17.103882476390364
2017-12-24T00:00:00,17.920034255740514
2017-12-31T00:00:00,21.09968947424776
2018-01-07T00:00:00,13.543905242640818
2018-01-14T00:00:00,7.710158654984611
2018-01-21T00:00:00,9.536082474226792
2018-01-28T00:00:00,5.372656607224502
2018-02-04T00:00:00,6.357256056146698
2018-02-11T00:00:00,1.7111111111111077
2018-02-18T00:00:00,0.3705500904318759
2018-02-25T00:00:00,-0.48503746048245144
2018-03-04T00:00:00,1.2600630031501359
2018-03-11T00:00:00,6.654660458578587
2018-03-18T00:00:00,5.147156450542156
2018-03-25T00:00:00,-2.007997592122812
2018-04-01T00:00:00,-5.399704703649011
2018-04-08T00:00:00,-4.615115923678115
2018-04-15T00:00:00,-7.336980116349734
2018-04-22T00:00:00,-6.738579225579089
2018-04-29T00:00:00,-4.613793994744331
2018-05-06T00:00:00,-4.732162220776404
2018-05-13T00:00:00,-8.153241650294706
2018-05-20T00:00:00,-2.4466584376653167
2018-05-27T00:00:00,-6.589641084215614
2018-06-03T00:00:00,-0.38668001091802795
2018-06-10T00:00:00,-1.632508206902683
2018-06-17T00:00:00,-2.8411131059246086
2018-06-24T00:00:00,-0.7509845223921618
2018-07-01T00:00:00,1.872884891752813
2018-07-08T00:00:00,5.722109437703593
2018-07-15T00:00:00,-1.6668925328635287
2018-07-22T00:00:00,0.5759672999210208
2018-07-29T00:00:00,5.347208900824851
2018-08-05T00:00:00,7.3827704127043425
2018-08-12T00:00:00,5.447132123877596
2018-08-19T00:00:00,8.136129062253005
2018-08-26T00:00:00,8.252358822701034
2018-09-02T00:00:00,7.515627959840887
2018-09-09T00:00:00,8.33806549309104
2018-09-16T00:00:00,7.607152994606858
2018-09-23T00:00:00,9.108003857280632
2018-09-30T00:00:00,8.818751450452545
2018-10-07T00:00:00,11.606188728337141
2018-10-14T00:00:00,12.337057728119172
2018-10-21T00:00:00,13.611295996957296
2018-10-28T00:00:00,5.923442302319071
2018-11-04T00:00:00,8.456312953853363
2018-11-11T00:00:00,9.382704563427446
2018-11-18T00:00:00,4.082751061789303
2018-11-25T00:00:00,4.019234258755211
2018-12-02T00:00:00,2.155784244144776
2018-12-09T00:00:00,2.3062483239474574
2018-12-16T00:00:00,6.957885304659506
2018-12-23T00:00:00,5.00204257636967
2018-12-30T00:00:00,2.4006366329192286
2019-01-06T00:00:00,2.3548571680091612
2019-01-13T00:00:00,2.6733500417710943
2019-01-20T00:00:00,-1.2563025210084011
2019-01-27T00:00:00,4.057279236276834
2019-02-03T00:00:00,1.9498488654263735
2019-02-10T00:00:00,2.538780860825862
2019-02-17T00:00:00,5.098228804992755
2019-02-24T00:00:00,3.1768136124287416
2019-03-03T00:00:00,4.826304873833398
