iyear,Attack Count,country_txt
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Israel
1977,1,Turkey
1977,1,Iran
1977,1,Turkey
1977,1,Lebanon
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Iran
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Saudi Arabia
1977,1,Iran
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Lebanon
1977,1,Iran
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Syria
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Syria
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Syria
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Israel
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
1977,1,Turkey
