date,label,month,quarter,sourceDataset,updateDate,value,year
1995,1995,,,PRDY,2021-10-06T23:00:00.000Z,3.0,1995
1996,1996,,,PRDY,2018-10-04T23:00:00.000Z,1.8,1996
1997,1997,,,PRDY,2021-10-06T23:00:00.000Z,1.6,1997
1998,1998,,,PRDY,2022-10-06T23:00:00.000Z,3.5,1998
1999,1999,,,PRDY,2022-10-06T23:00:00.000Z,13.7,1999
2000,2000,,,PRDY,2022-10-06T23:00:00.000Z,11.0,2000
2001,2001,,,PRDY,2022-10-06T23:00:00.000Z,3.9,2001
2002,2002,,,PRDY,2022-10-06T23:00:00.000Z,8.1,2002
2003,2003,,,PRDY,2022-10-06T23:00:00.000Z,6.1,2003
2004,2004,,,PRDY,2021-10-06T23:00:00.000Z,-0.6,2004
2005,2005,,,PRDY,2022-10-06T23:00:00.000Z,16.9,2005
2006,2006,,,PRDY,2022-04-06T23:00:00.000Z,11.8,2006
2007,2007,,,PRDY,2022-10-06T23:00:00.000Z,2.1,2007
2008,2008,,,PRDY,2022-10-06T23:00:00.000Z,14.0,2008
2009,2009,,,PRDY,2022-10-06T23:00:00.000Z,-5.9,2009
2010,2010,,,PRDY,2022-10-06T23:00:00.000Z,4.9,2010
2011,2011,,,PRDY,2022-10-06T23:00:00.000Z,-9.5,2011
2012,2012,,,PRDY,2022-10-06T23:00:00.000Z,0.9,2012
2013,2013,,,PRDY,2022-10-06T23:00:00.000Z,5.9,2013
2014,2014,,,PRDY,2022-10-06T23:00:00.000Z,12.9,2014
2015,2015,,,PRDY,2022-10-06T23:00:00.000Z,19.5,2015
2016,2016,,,PRDY,2022-10-06T23:00:00.000Z,-11.4,2016
2017,2017,,,PRDY,2022-10-06T23:00:00.000Z,-10.7,2017
2018,2018,,,PRDY,2022-10-06T23:00:00.000Z,4.6,2018
2019,2019,,,PRDY,2022-10-06T23:00:00.000Z,5.8,2019
2020,2020,,,PRDY,2022-10-06T23:00:00.000Z,26.1,2020
2021,2021,,,PRDY,2022-10-06T23:00:00.000Z,1.8,2021
