date,label,month,quarter,sourceDataset,updateDate,value,year
1988,1988,,,MM23,2018-12-19T00:00:00.000Z,16.6,1988
1989,1989,,,MM23,2018-12-19T00:00:00.000Z,17.1,1989
1990,1990,,,MM23,2018-12-19T00:00:00.000Z,18.3,1990
1991,1991,,,MM23,2018-12-19T00:00:00.000Z,20.9,1991
1992,1992,,,MM23,2018-12-19T00:00:00.000Z,23.2,1992
1993,1993,,,MM23,2018-12-19T00:00:00.000Z,25.1,1993
1994,1994,,,MM23,2018-12-19T00:00:00.000Z,27.0,1994
1995,1995,,,MM23,2018-12-19T00:00:00.000Z,28.8,1995
1996,1996,,,MM23,2016-01-19T09:30:00.000Z,30.7,1996
1997,1997,,,MM23,2016-01-19T09:30:00.000Z,33.0,1997
1998,1998,,,MM23,2016-01-19T09:30:00.000Z,35.9,1998
1999,1999,,,MM23,2016-01-19T09:30:00.000Z,40.0,1999
2000,2000,,,MM23,2016-01-19T09:30:00.000Z,43.4,2000
2001,2001,,,MM23,2016-01-19T09:30:00.000Z,45.8,2001
2002,2002,,,MM23,2016-01-19T09:30:00.000Z,47.1,2002
2003,2003,,,MM23,2016-01-19T09:30:00.000Z,48.8,2003
2004,2004,,,MM23,2016-01-19T09:30:00.000Z,50.6,2004
2005,2005,,,MM23,2016-01-19T09:30:00.000Z,52.8,2005
2006,2006,,,MM23,2016-01-19T09:30:00.000Z,55.1,2006
2007,2007,,,MM23,2016-01-19T09:30:00.000Z,58.1,2007
2008,2008,,,MM23,2016-01-19T09:30:00.000Z,60.6,2008
2009,2009,,,MM23,2016-01-19T09:30:00.000Z,63.0,2009
2010,2010,,,MM23,2016-01-19T09:30:00.000Z,67.8,2010
2011,2011,,,MM23,2016-01-19T09:30:00.000Z,75.3,2011
2012,2012,,,MM23,2016-01-19T09:30:00.000Z,81.7,2012
2013,2013,,,MM23,2016-01-19T09:30:00.000Z,88.0,2013
2014,2014,,,MM23,2016-01-19T09:30:00.000Z,94.7,2014
2015,2015,,,MM23,2016-01-19T09:30:00.000Z,100.0,2015
2016,2016,,,MM23,2017-01-17T00:00:00.000Z,104.9,2016
2017,2017,,,MM23,2018-01-16T00:00:00.000Z,111.0,2017
2018,2018,,,MM23,2019-01-16T00:00:00.000Z,119.1,2018
2019,2019,,,MM23,2020-01-15T00:00:00.000Z,125.7,2019
2020,2020,,,MM23,2021-01-20T00:00:00.000Z,129.4,2020
2021,2021,,,MM23,2022-01-19T00:00:00.000Z,134.5,2021
