areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000001,North East,region,2023-07-17,121
E12000001,North East,region,2023-07-16,127
E12000001,North East,region,2023-07-15,136
E12000001,North East,region,2023-07-14,129
E12000001,North East,region,2023-07-13,131
E12000001,North East,region,2023-07-12,124
E12000001,North East,region,2023-07-11,135
E12000001,North East,region,2023-07-10,129
E12000001,North East,region,2023-07-09,135
E12000001,North East,region,2023-07-08,128
E12000001,North East,region,2023-07-07,126
E12000001,North East,region,2023-07-06,119
E12000001,North East,region,2023-07-05,121
E12000001,North East,region,2023-07-04,106
E12000001,North East,region,2023-07-03,97
E12000001,North East,region,2023-07-02,92
E12000001,North East,region,2023-07-01,88
E12000001,North East,region,2023-06-30,96
E12000001,North East,region,2023-06-29,101
E12000001,North East,region,2023-06-28,100
E12000001,North East,region,2023-06-27,105
E12000001,North East,region,2023-06-26,115
E12000001,North East,region,2023-06-25,113
E12000001,North East,region,2023-06-24,119
E12000001,North East,region,2023-06-23,109
E12000001,North East,region,2023-06-22,109
E12000001,North East,region,2023-06-21,122
E12000001,North East,region,2023-06-20,142
E12000001,North East,region,2023-06-19,150
E12000001,North East,region,2023-06-18,169
E12000001,North East,region,2023-06-17,162
E12000001,North East,region,2023-06-16,169
E12000001,North East,region,2023-06-15,174
E12000001,North East,region,2023-06-14,182
E12000001,North East,region,2023-06-13,178
E12000001,North East,region,2023-06-12,184
E12000001,North East,region,2023-06-11,185
E12000001,North East,region,2023-06-10,194
E12000001,North East,region,2023-06-09,211
E12000001,North East,region,2023-06-08,222
E12000001,North East,region,2023-06-07,226
E12000001,North East,region,2023-06-06,230
E12000001,North East,region,2023-06-05,237
E12000001,North East,region,2023-06-04,243
E12000001,North East,region,2023-06-03,250
E12000001,North East,region,2023-06-02,249
E12000001,North East,region,2023-06-01,254
E12000001,North East,region,2023-05-31,262
E12000001,North East,region,2023-05-30,267
E12000001,North East,region,2023-05-29,275
E12000001,North East,region,2023-05-28,280
E12000001,North East,region,2023-05-27,284
E12000001,North East,region,2023-05-26,278
E12000001,North East,region,2023-05-25,271
E12000001,North East,region,2023-05-24,259
E12000001,North East,region,2023-05-23,254
E12000001,North East,region,2023-05-22,256
E12000001,North East,region,2023-05-21,255
E12000001,North East,region,2023-05-20,274
E12000001,North East,region,2023-05-19,295
E12000001,North East,region,2023-05-18,307
E12000001,North East,region,2023-05-17,319
E12000001,North East,region,2023-05-16,342
E12000001,North East,region,2023-05-15,376
E12000001,North East,region,2023-05-14,389
E12000001,North East,region,2023-05-13,396
E12000001,North East,region,2023-05-12,396
E12000001,North East,region,2023-05-11,412
E12000001,North East,region,2023-05-10,433
