date,label,month,quarter,sourceDataset,updateDate,value,year
1955 Q1,1955 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,880,1955
1955 Q2,1955 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,787,1955
1955 Q3,1955 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,897,1955
1955 Q4,1955 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,880,1955
1956 Q1,1956 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,846,1956
1956 Q2,1956 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,850,1956
1956 Q3,1956 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,853,1956
1956 Q4,1956 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,845,1956
1957 Q1,1957 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,935,1957
1957 Q2,1957 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,916,1957
1957 Q3,1957 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,905,1957
1957 Q4,1957 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,855,1957
1958 Q1,1958 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,854,1958
1958 Q2,1958 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,823,1958
1958 Q3,1958 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,894,1958
1958 Q4,1958 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,876,1958
1959 Q1,1959 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,887,1959
1959 Q2,1959 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,902,1959
1959 Q3,1959 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,927,1959
1959 Q4,1959 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,999,1959
1960 Q1,1960 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1024,1960
1960 Q2,1960 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,1056,1960
1960 Q3,1960 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1067,1960
1960 Q4,1960 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1071,1960
1961 Q1,1961 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1067,1961
1961 Q2,1961 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,1045,1961
1961 Q3,1961 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1004,1961
1961 Q4,1961 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1010,1961
1962 Q1,1962 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1019,1962
1962 Q2,1962 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,1047,1962
1962 Q3,1962 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1070,1962
1962 Q4,1962 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1050,1962
1963 Q1,1963 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1071,1963
1963 Q2,1963 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,1115,1963
1963 Q3,1963 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1153,1963
1963 Q4,1963 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1197,1963
1964 Q1,1964 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1290,1964
1964 Q2,1964 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,1275,1964
1964 Q3,1964 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1299,1964
1964 Q4,1964 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1340,1964
1965 Q1,1965 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1259,1965
1965 Q2,1965 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,1313,1965
1965 Q3,1965 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1338,1965
1965 Q4,1965 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1360,1965
1966 Q1,1966 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1395,1966
1966 Q2,1966 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,1361,1966
1966 Q3,1966 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1411,1966
1966 Q4,1966 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1324,1966
1967 Q1,1967 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1473,1967
1967 Q2,1967 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,1471,1967
1967 Q3,1967 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1459,1967
1967 Q4,1967 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1571,1967
1968 Q1,1968 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1786,1968
1968 Q2,1968 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,1797,1968
1968 Q3,1968 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1861,1968
1968 Q4,1968 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1862,1968
1969 Q1,1969 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1880,1969
1969 Q2,1969 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,1909,1969
1969 Q3,1969 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,1904,1969
1969 Q4,1969 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,1962,1969
1970 Q1,1970 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,1985,1970
1970 Q2,1970 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,2110,1970
1970 Q3,1970 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,2078,1970
1970 Q4,1970 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,2186,1970
1971 Q1,1971 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,2170,1971
1971 Q2,1971 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,2307,1971
1971 Q3,1971 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,2262,1971
1971 Q4,1971 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,2330,1971
1972 Q1,1972 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,2440,1972
1972 Q2,1972 Q2,,Q2,QNA,2016-06-30T08:30:00.000Z,2496,1972
1972 Q3,1972 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,2496,1972
1972 Q4,1972 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,2983,1972
1973 Q1,1973 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,3216,1973
1973 Q2,1973 Q2,,Q2,QNA,2015-09-29T23:00:00.000Z,3415,1973
1973 Q3,1973 Q3,,Q3,QNA,2015-09-29T23:00:00.000Z,3826,1973
1973 Q4,1973 Q4,,Q4,QNA,2022-12-22T00:00:00.000Z,4309,1973
1974 Q1,1974 Q1,,Q1,QNA,2015-09-29T23:00:00.000Z,4916,1974
