date,label,month,quarter,sourceDataset,updateDate,value,year
1955 Q1,1955 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-70,1955
1955 Q2,1955 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-66,1955
1955 Q3,1955 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-72,1955
1955 Q4,1955 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-47,1955
1956 Q1,1956 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,5,1956
1956 Q2,1956 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,39,1956
1956 Q3,1956 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,13,1956
1956 Q4,1956 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,36,1956
1957 Q1,1957 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,11,1957
1957 Q2,1957 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,18,1957
1957 Q3,1957 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,19,1957
1957 Q4,1957 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,57,1957
1958 Q1,1958 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,78,1958
1958 Q2,1958 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,29,1958
1958 Q3,1958 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,36,1958
1958 Q4,1958 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,20,1958
1959 Q1,1959 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,13,1959
1959 Q2,1959 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,8,1959
1959 Q3,1959 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,13,1959
1959 Q4,1959 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-23,1959
1960 Q1,1960 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-43,1960
1960 Q2,1960 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-107,1960
1960 Q3,1960 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-108,1960
1960 Q4,1960 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-98,1960
1961 Q1,1961 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-44,1961
1961 Q2,1961 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-50,1961
1961 Q3,1961 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,10,1961
1961 Q4,1961 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-1,1961
1962 Q1,1962 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-15,1962
1962 Q2,1962 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-3,1962
1962 Q3,1962 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-24,1962
1962 Q4,1962 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-6,1962
1963 Q1,1963 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,13,1963
1963 Q2,1963 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-22,1963
1963 Q3,1963 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-40,1963
1963 Q4,1963 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-65,1963
1964 Q1,1964 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-161,1964
1964 Q2,1964 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-112,1964
1964 Q3,1964 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-153,1964
1964 Q4,1964 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-156,1964
1965 Q1,1965 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-70,1965
1965 Q2,1965 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-96,1965
1965 Q3,1965 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-91,1965
1965 Q4,1965 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-73,1965
1966 Q1,1966 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-95,1966
1966 Q2,1966 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-68,1966
1966 Q3,1966 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-48,1966
1966 Q4,1966 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,135,1966
1967 Q1,1967 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-9,1967
1967 Q2,1967 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-70,1967
1967 Q3,1967 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-69,1967
1967 Q4,1967 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-322,1967
1968 Q1,1968 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-152,1968
1968 Q2,1968 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-146,1968
1968 Q3,1968 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-67,1968
1968 Q4,1968 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-43,1968
1969 Q1,1969 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-83,1969
1969 Q2,1969 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,23,1969
1969 Q3,1969 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,131,1969
1969 Q4,1969 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,56,1969
1970 Q1,1970 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,210,1970
1970 Q2,1970 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,35,1970
1970 Q3,1970 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,9,1970
1970 Q4,1970 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,133,1970
1971 Q1,1971 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,91,1971
1971 Q2,1971 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,167,1971
1971 Q3,1971 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,293,1971
1971 Q4,1971 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,219,1971
1972 Q1,1972 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,65,1972
1972 Q2,1972 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,76,1972
1972 Q3,1972 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-181,1972
1972 Q4,1972 Q4,,Q4,QNA,2023-09-28T23:00:00.000Z,-30,1972
1973 Q1,1973 Q1,,Q1,QNA,2023-09-28T23:00:00.000Z,-241,1973
1973 Q2,1973 Q2,,Q2,QNA,2023-09-28T23:00:00.000Z,-275,1973
1973 Q3,1973 Q3,,Q3,QNA,2023-09-28T23:00:00.000Z,-469,1973
