date,label,month,quarter,sourceDataset,updateDate,value,year
1988,1988,,,MM23,2021-02-17T00:00:00.000Z,32,1988
1989,1989,,,MM23,2021-02-17T00:00:00.000Z,31,1989
1990,1990,,,MM23,2021-02-17T00:00:00.000Z,31,1990
1991,1991,,,MM23,2021-02-17T00:00:00.000Z,29,1991
1992,1992,,,MM23,2021-02-17T00:00:00.000Z,32,1992
1993,1993,,,MM23,2021-02-17T00:00:00.000Z,28,1993
1994,1994,,,MM23,2021-02-17T00:00:00.000Z,30,1994
1995,1995,,,MM23,2021-02-17T00:00:00.000Z,29,1995
1996,1996,,,MM23,2021-02-17T00:00:00.000Z,27,1996
1997,1997,,,MM23,2021-02-17T00:00:00.000Z,28,1997
1998,1998,,,MM23,2021-02-17T00:00:00.000Z,28,1998
1999,1999,,,MM23,2021-02-17T00:00:00.000Z,26,1999
2000,2000,,,MM23,2021-02-17T00:00:00.000Z,25,2000
2001,2001,,,MM23,2021-02-17T00:00:00.000Z,22,2001
2002,2002,,,MM23,2021-02-17T00:00:00.000Z,25,2002
2003,2003,,,MM23,2021-02-17T00:00:00.000Z,22,2003
2004,2004,,,MM23,2021-02-17T00:00:00.000Z,22,2004
2005,2005,,,MM23,2021-02-17T00:00:00.000Z,21,2005
2006,2006,,,MM23,2021-02-17T00:00:00.000Z,20,2006
2007,2007,,,MM23,2021-02-17T00:00:00.000Z,20,2007
2008,2008,,,MM23,2021-02-17T00:00:00.000Z,19,2008
2009,2009,,,MM23,2021-02-17T00:00:00.000Z,18,2009
2010,2010,,,MM23,2021-02-17T00:00:00.000Z,18,2010
2011,2011,,,MM23,2021-02-17T00:00:00.000Z,19,2011
2012,2012,,,MM23,2021-02-17T00:00:00.000Z,19,2012
2013,2013,,,MM23,2021-02-17T00:00:00.000Z,19,2013
2014,2014,,,MM23,2021-02-17T00:00:00.000Z,20,2014
2015,2015,,,MM23,2021-02-17T00:00:00.000Z,19,2015
2016,2016,,,MM23,2021-02-17T00:00:00.000Z,19,2016
2017,2017,,,MM23,2021-02-17T00:00:00.000Z,18,2017
2018,2018,,,MM23,2021-02-17T00:00:00.000Z,18,2018
2019,2019,,,MM23,2021-02-17T00:00:00.000Z,17,2019
2020,2020,,,MM23,2021-02-17T00:00:00.000Z,16,2020
2021,2021,,,MM23,2021-02-17T00:00:00.000Z,17,2021
2022,2022,,,MM23,2022-02-16T00:00:00.000Z,18,2022
