areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
E12000001,North East,region,2023-01-18,7
E12000001,North East,region,2023-01-17,2
E12000001,North East,region,2023-01-16,7
E12000001,North East,region,2023-01-15,8
E12000001,North East,region,2023-01-14,13
E12000001,North East,region,2023-01-13,6
E12000001,North East,region,2023-01-12,9
E12000001,North East,region,2023-01-11,10
E12000001,North East,region,2023-01-10,9
E12000001,North East,region,2023-01-09,11
E12000001,North East,region,2023-01-08,8
E12000001,North East,region,2023-01-07,8
E12000001,North East,region,2023-01-06,5
E12000001,North East,region,2023-01-05,12
E12000001,North East,region,2023-01-04,8
E12000001,North East,region,2023-01-03,6
E12000001,North East,region,2023-01-02,8
E12000001,North East,region,2023-01-01,11
E12000001,North East,region,2022-12-31,12
E12000001,North East,region,2022-12-30,10
E12000001,North East,region,2022-12-29,9
E12000001,North East,region,2022-12-28,8
E12000001,North East,region,2022-12-27,14
E12000001,North East,region,2022-12-26,3
E12000001,North East,region,2022-12-25,7
E12000001,North East,region,2022-12-24,4
E12000001,North East,region,2022-12-23,10
E12000001,North East,region,2022-12-22,6
E12000001,North East,region,2022-12-21,3
E12000001,North East,region,2022-12-20,4
E12000001,North East,region,2022-12-19,4
E12000001,North East,region,2022-12-18,4
E12000001,North East,region,2022-12-17,5
E12000001,North East,region,2022-12-16,4
E12000001,North East,region,2022-12-15,3
E12000001,North East,region,2022-12-14,4
E12000001,North East,region,2022-12-13,3
E12000001,North East,region,2022-12-12,5
E12000001,North East,region,2022-12-11,3
E12000001,North East,region,2022-12-10,3
E12000001,North East,region,2022-12-09,10
E12000001,North East,region,2022-12-08,2
E12000001,North East,region,2022-12-07,2
E12000001,North East,region,2022-12-06,3
E12000001,North East,region,2022-12-05,3
E12000001,North East,region,2022-12-04,1
E12000001,North East,region,2022-12-03,1
E12000001,North East,region,2022-12-02,4
E12000001,North East,region,2022-12-01,2
E12000001,North East,region,2022-11-30,1
E12000001,North East,region,2022-11-29,1
E12000001,North East,region,2022-11-28,3
E12000001,North East,region,2022-11-27,5
E12000001,North East,region,2022-11-26,4
E12000001,North East,region,2022-11-25,1
E12000001,North East,region,2022-11-24,2
E12000001,North East,region,2022-11-23,4
E12000001,North East,region,2022-11-22,5
E12000001,North East,region,2022-11-21,5
E12000001,North East,region,2022-11-20,5
E12000001,North East,region,2022-11-19,6
E12000001,North East,region,2022-11-18,3
E12000001,North East,region,2022-11-17,3
E12000001,North East,region,2022-11-16,3
E12000001,North East,region,2022-11-15,6
E12000001,North East,region,2022-11-14,11
E12000001,North East,region,2022-11-13,4
E12000001,North East,region,2022-11-12,5
E12000001,North East,region,2022-11-11,12
E12000001,North East,region,2022-11-10,2
E12000001,North East,region,2022-11-09,6
E12000001,North East,region,2022-11-08,7
E12000001,North East,region,2022-11-07,8
E12000001,North East,region,2022-11-06,7
E12000001,North East,region,2022-11-05,8
E12000001,North East,region,2022-11-04,5
E12000001,North East,region,2022-11-03,9
E12000001,North East,region,2022-11-02,8
E12000001,North East,region,2022-11-01,9
E12000001,North East,region,2022-10-31,4
E12000001,North East,region,2022-10-30,9
E12000001,North East,region,2022-10-29,9
E12000001,North East,region,2022-10-28,5
E12000001,North East,region,2022-10-27,7
E12000001,North East,region,2022-10-26,10
E12000001,North East,region,2022-10-25,3
E12000001,North East,region,2022-10-24,9
E12000001,North East,region,2022-10-23,9
E12000001,North East,region,2022-10-22,10
E12000001,North East,region,2022-10-21,12
E12000001,North East,region,2022-10-20,4
E12000001,North East,region,2022-10-19,12
E12000001,North East,region,2022-10-18,6
E12000001,North East,region,2022-10-17,13
E12000001,North East,region,2022-10-16,4
E12000001,North East,region,2022-10-15,14
E12000001,North East,region,2022-10-14,11
E12000001,North East,region,2022-10-13,7
E12000001,North East,region,2022-10-12,7
E12000001,North East,region,2022-10-11,6
E12000001,North East,region,2022-10-10,7
E12000001,North East,region,2022-10-09,8
E12000001,North East,region,2022-10-08,7
E12000001,North East,region,2022-10-07,8
E12000001,North East,region,2022-10-06,8
E12000001,North East,region,2022-10-05,8
E12000001,North East,region,2022-10-04,5
E12000001,North East,region,2022-10-03,5
E12000001,North East,region,2022-10-02,3
E12000001,North East,region,2022-10-01,5
E12000001,North East,region,2022-09-30,9
E12000001,North East,region,2022-09-29,5
E12000001,North East,region,2022-09-28,5
E12000001,North East,region,2022-09-27,3
E12000001,North East,region,2022-09-26,6
E12000001,North East,region,2022-09-25,0
E12000001,North East,region,2022-09-24,3
E12000001,North East,region,2022-09-23,3
E12000001,North East,region,2022-09-22,3
E12000001,North East,region,2022-09-21,1
E12000001,North East,region,2022-09-20,7
E12000001,North East,region,2022-09-19,2
E12000001,North East,region,2022-09-18,4
E12000001,North East,region,2022-09-17,1
E12000001,North East,region,2022-09-16,3
E12000001,North East,region,2022-09-15,2
E12000001,North East,region,2022-09-14,4
E12000001,North East,region,2022-09-13,2
E12000001,North East,region,2022-09-12,3
E12000001,North East,region,2022-09-11,2
E12000001,North East,region,2022-09-10,3
E12000001,North East,region,2022-09-09,5
E12000001,North East,region,2022-09-08,5
E12000001,North East,region,2022-09-07,1
E12000001,North East,region,2022-09-06,0
E12000001,North East,region,2022-09-05,3
E12000001,North East,region,2022-09-04,3
E12000001,North East,region,2022-09-03,4
E12000001,North East,region,2022-09-02,5
E12000001,North East,region,2022-09-01,4
E12000001,North East,region,2022-08-31,5
E12000001,North East,region,2022-08-30,2
E12000001,North East,region,2022-08-29,3
E12000001,North East,region,2022-08-28,7
E12000001,North East,region,2022-08-27,4
E12000001,North East,region,2022-08-26,5
E12000001,North East,region,2022-08-25,3
E12000001,North East,region,2022-08-24,1
E12000001,North East,region,2022-08-23,6
E12000001,North East,region,2022-08-22,5
E12000001,North East,region,2022-08-21,6
E12000001,North East,region,2022-08-20,4
E12000001,North East,region,2022-08-19,4
E12000001,North East,region,2022-08-18,3
E12000001,North East,region,2022-08-17,7
E12000001,North East,region,2022-08-16,3
E12000001,North East,region,2022-08-15,2
E12000001,North East,region,2022-08-14,5
E12000001,North East,region,2022-08-13,3
E12000001,North East,region,2022-08-12,4
E12000001,North East,region,2022-08-11,7
E12000001,North East,region,2022-08-10,8
E12000001,North East,region,2022-08-09,3
E12000001,North East,region,2022-08-08,8
E12000001,North East,region,2022-08-07,7
E12000001,North East,region,2022-08-06,5
