date,label,month,quarter,sourceDataset,updateDate,value,year
1997,1997,,,MRET,2022-10-11T23:00:00.000Z,216653,1997
1998,1998,,,MRET,2022-10-11T23:00:00.000Z,236920,1998
1999,1999,,,MRET,2022-10-11T23:00:00.000Z,253997,1999
2000,2000,,,MRET,2022-10-11T23:00:00.000Z,278197,2000
2001,2001,,,MRET,2022-10-11T23:00:00.000Z,299178,2001
2002,2002,,,MRET,2022-10-11T23:00:00.000Z,316360,2002
2003,2003,,,MRET,2022-10-11T23:00:00.000Z,322689,2003
2004,2004,,,MRET,2022-10-11T23:00:00.000Z,343540,2004
2005,2005,,,MRET,2022-10-11T23:00:00.000Z,371444,2005
2006,2006,,,MRET,2022-10-11T23:00:00.000Z,419805,2006
2007,2007,,,MRET,2022-10-11T23:00:00.000Z,406206,2007
2008,2008,,,MRET,2022-10-11T23:00:00.000Z,399138,2008
2009,2009,,,MRET,2022-10-11T23:00:00.000Z,366026,2009
2010,2010,,,MRET,2022-10-11T23:00:00.000Z,402711,2010
2011,2011,,,MRET,2022-10-11T23:00:00.000Z,415705,2011
2012,2012,,,MRET,2022-10-11T23:00:00.000Z,422878,2012
2013,2013,,,MRET,2022-10-11T23:00:00.000Z,437316,2013
2014,2014,,,MRET,2022-10-11T23:00:00.000Z,453352,2014
2015,2015,,,MRET,2022-10-11T23:00:00.000Z,468533,2015
2016,2016,,,MRET,2022-10-11T23:00:00.000Z,485686,2016
2017,2017,,,MRET,2022-10-11T23:00:00.000Z,497169,2017
2018,2018,,,MRET,2022-10-11T23:00:00.000Z,498888,2018
2019,2019,,,MRET,2022-10-11T23:00:00.000Z,511674,2019
2020,2020,,,MRET,2022-10-11T23:00:00.000Z,448866,2020
2021,2021,,,MRET,2022-10-11T23:00:00.000Z,457192,2021
