date,label,month,quarter,sourceDataset,updateDate,value,year
1992,1992,,,LMS,2015-10-13T23:00:00.000Z,18.8,1992
1993,1993,,,LMS,2015-10-13T23:00:00.000Z,19.8,1993
1994,1994,,,LMS,2015-10-13T23:00:00.000Z,19.2,1994
1995,1995,,,LMS,2015-10-13T23:00:00.000Z,19.0,1995
1996,1996,,,LMS,2015-10-13T23:00:00.000Z,19.9,1996
1997,1997,,,LMS,2015-10-13T23:00:00.000Z,19.2,1997
1998,1998,,,LMS,2015-10-13T23:00:00.000Z,19.8,1998
1999,1999,,,LMS,2015-10-13T23:00:00.000Z,20.3,1999
2000,2000,,,LMS,2015-10-13T23:00:00.000Z,20.3,2000
2001,2001,,,LMS,2015-10-13T23:00:00.000Z,19.1,2001
2002,2002,,,LMS,2015-10-13T23:00:00.000Z,20.0,2002
2003,2003,,,LMS,2015-10-13T23:00:00.000Z,21.0,2003
2004,2004,,,LMS,2015-10-13T23:00:00.000Z,21.5,2004
2005,2005,,,LMS,2015-10-13T23:00:00.000Z,22.9,2005
2006,2006,,,LMS,2015-10-13T23:00:00.000Z,24.7,2006
2007,2007,,,LMS,2015-10-13T23:00:00.000Z,27.0,2007
2008,2008,,,LMS,2015-10-13T23:00:00.000Z,26.2,2008
2009,2009,,,LMS,2015-10-13T23:00:00.000Z,32.0,2009
2010,2010,,,LMS,2015-10-13T23:00:00.000Z,35.0,2010
2011,2011,,,LMS,2019-02-19T00:00:00.000Z,38.1,2011
2012,2012,,,LMS,2016-05-18T08:30:00.000Z,36.7,2012
2013,2013,,,LMS,2016-05-18T08:30:00.000Z,37.1,2013
2014,2014,,,LMS,2015-10-13T23:00:00.000Z,33.5,2014
2015,2015,,,LMS,2017-05-16T23:00:00.000Z,28.0,2015
2016,2016,,,LMS,2019-02-19T00:00:00.000Z,26.4,2016
2017,2017,,,LMS,2018-02-21T00:00:00.000Z,25.4,2017
2018,2018,,,LMS,2019-02-19T00:00:00.000Z,23.6,2018
2019,2019,,,LMS,2020-02-18T00:00:00.000Z,20.5,2019
2020,2020,,,LMS,2022-08-15T23:00:00.000Z,25.8,2020
2021,2021,,,LMS,2022-08-15T23:00:00.000Z,26.6,2021
