realtime_start,realtime_end,observation_start,observation_end,units,output_type,file_type,order_by,sort_order,count,offset,limit,observations
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-01-01', 'value': '5.33'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-02-01', 'value': '5.4'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-03-01', 'value': '5.59'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-04-01', 'value': '5.67'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-05-01', 'value': '5.69'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-06-01', 'value': '6.04'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-07-01', 'value': '6.01'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-08-01', 'value': '6.03'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-09-01', 'value': '6.1'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-10-01', 'value': '6.1'}"
2023-01-06,2023-01-06,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,755,0,100000,"{'realtime_start': '2023-01-06', 'realtime_end': '2023-01-06', 'date': '1960-11-01', 'value': '6.14'}"
