date,Date,CDID,Value,series
2007 DEC,2007-12-15,WUMX,-.09,Communication
2007 DEC,2007-12-15,WUNC,-.2,RecreationCulture
2007 DEC,2007-12-15,WUND,.24,Education
2007 DEC,2007-12-15,WUNE,.47,RestaurantsHotels
2007 DEC,2007-12-15,WUNG,.19,Misc
2007 FEB,2007-02-15,WUMA,.45,Food
2007 FEB,2007-02-15,WUMB,.18,AlcoholTobacco
2007 FEB,2007-02-15,WUMC,-.27,ClothingFootwear
2007 FEB,2007-02-15,WUMD,1.2,HousingHouseService
2007 FEB,2007-02-15,WUMP,.11,FurnitureHousehold
2007 FEB,2007-02-15,WUMQ,.09,Health
2007 FEB,2007-02-15,WUMW,.21,Transport
2007 FEB,2007-02-15,WUMX,-.07,Communication
2007 FEB,2007-02-15,WUNC,-.16,RecreationCulture
2007 FEB,2007-02-15,WUND,.24,Education
2007 FEB,2007-02-15,WUNE,.44,RestaurantsHotels
2007 FEB,2007-02-15,WUNG,.38,Misc
2007 JAN,2007-01-15,WUMA,.4,Food
2007 JAN,2007-01-15,WUMB,.15,AlcoholTobacco
2007 JAN,2007-01-15,WUMC,-.27,ClothingFootwear
2007 JAN,2007-01-15,WUMD,1.21,HousingHouseService
2007 JAN,2007-01-15,WUMP,.07,FurnitureHousehold
2007 JAN,2007-01-15,WUMQ,.09,Health
2007 JAN,2007-01-15,WUMW,.14,Transport
2007 JAN,2007-01-15,WUMX,-.05,Communication
2007 JAN,2007-01-15,WUNC,-.06,RecreationCulture
2007 JAN,2007-01-15,WUND,.24,Education
2007 JAN,2007-01-15,WUNE,.45,RestaurantsHotels
2007 JAN,2007-01-15,WUNG,.33,Misc
2007 JUL,2007-07-15,WUMA,.29,Food
2007 JUL,2007-07-15,WUMB,.15,AlcoholTobacco
2007 JUL,2007-07-15,WUMC,-.16,ClothingFootwear
2007 JUL,2007-07-15,WUMD,.4,HousingHouseService
2007 JUL,2007-07-15,WUMP,.15,FurnitureHousehold
2007 JUL,2007-07-15,WUMQ,.08,Health
2007 JUL,2007-07-15,WUMW,.38,Transport
2007 JUL,2007-07-15,WUMX,-.12,Communication
2007 JUL,2007-07-15,WUNC,-.23,RecreationCulture
2007 JUL,2007-07-15,WUND,.23,Education
2007 JUL,2007-07-15,WUNE,.49,RestaurantsHotels
2007 JUL,2007-07-15,WUNG,.2,Misc
2007 JUN,2007-06-15,WUMA,.49,Food
2007 JUN,2007-06-15,WUMB,.15,AlcoholTobacco
2007 JUN,2007-06-15,WUMC,-.2,ClothingFootwear
2007 JUN,2007-06-15,WUMD,.49,HousingHouseService
2007 JUN,2007-06-15,WUMP,.29,FurnitureHousehold
2007 JUN,2007-06-15,WUMQ,.08,Health
2007 JUN,2007-06-15,WUMW,.5,Transport
2007 JUN,2007-06-15,WUMX,-.09,Communication
2007 JUN,2007-06-15,WUNC,-.18,RecreationCulture
2007 JUN,2007-06-15,WUND,.23,Education
2007 JUN,2007-06-15,WUNE,.5,RestaurantsHotels
2007 JUN,2007-06-15,WUNG,.18,Misc
2007 MAR,2007-03-15,WUMA,.57,Food
2007 MAR,2007-03-15,WUMB,.19,AlcoholTobacco
2007 MAR,2007-03-15,WUMC,-.25,ClothingFootwear
2007 MAR,2007-03-15,WUMD,1.09,HousingHouseService
2007 MAR,2007-03-15,WUMP,.21,FurnitureHousehold
2007 MAR,2007-03-15,WUMQ,.09,Health
2007 MAR,2007-03-15,WUMW,.25,Transport
2007 MAR,2007-03-15,WUMX,-.07,Communication
2007 MAR,2007-03-15,WUNC,-.11,RecreationCulture
2007 MAR,2007-03-15,WUND,.24,Education
2007 MAR,2007-03-15,WUNE,.46,RestaurantsHotels
2007 MAR,2007-03-15,WUNG,.39,Misc
2007 MAY,2007-05-15,WUMA,.51,Food
2007 MAY,2007-05-15,WUMB,.18,AlcoholTobacco
2007 MAY,2007-05-15,WUMC,-.22,ClothingFootwear
2007 MAY,2007-05-15,WUMD,.64,HousingHouseService
2007 MAY,2007-05-15,WUMP,.2,FurnitureHousehold
2007 MAY,2007-05-15,WUMQ,.08,Health
2007 MAY,2007-05-15,WUMW,.4,Transport
2007 MAY,2007-05-15,WUMX,-.08,Communication
2007 MAY,2007-05-15,WUNC,-.13,RecreationCulture
2007 MAY,2007-05-15,WUND,.23,Education
2007 MAY,2007-05-15,WUNE,.48,RestaurantsHotels
2007 MAY,2007-05-15,WUNG,.23,Misc
2007 NOV,2007-11-15,WUMA,.49,Food
2007 NOV,2007-11-15,WUMB,.12,AlcoholTobacco
2007 NOV,2007-11-15,WUMC,-.28,ClothingFootwear
2007 NOV,2007-11-15,WUMD,.09,HousingHouseService
2007 NOV,2007-11-15,WUMP,.14,FurnitureHousehold
2007 NOV,2007-11-15,WUMQ,.07,Health
2007 NOV,2007-11-15,WUMW,.87,Transport
2007 NOV,2007-11-15,WUMX,-.1,Communication
2007 NOV,2007-11-15,WUNC,-.18,RecreationCulture
2007 NOV,2007-11-15,WUND,.24,Education
2007 NOV,2007-11-15,WUNE,.46,RestaurantsHotels
2007 NOV,2007-11-15,WUNG,.16,Misc
2007 OCT,2007-10-15,WUMA,.49,Food
2007 OCT,2007-10-15,WUMB,.12,AlcoholTobacco
2007 OCT,2007-10-15,WUMC,-.27,ClothingFootwear
2007 OCT,2007-10-15,WUMD,.16,HousingHouseService
2007 OCT,2007-10-15,WUMP,.15,FurnitureHousehold
2007 OCT,2007-10-15,WUMQ,.08,Health
2007 OCT,2007-10-15,WUMW,.77,Transport
2007 OCT,2007-10-15,WUMX,-.1,Communication
2007 OCT,2007-10-15,WUNC,-.15,RecreationCulture
2007 OCT,2007-10-15,WUND,.24,Education
2007 OCT,2007-10-15,WUNE,.48,RestaurantsHotels
2007 OCT,2007-10-15,WUNG,.13,Misc
2007 SEP,2007-09-15,WUMA,.38,Food
2007 SEP,2007-09-15,WUMB,.14,AlcoholTobacco
2007 SEP,2007-09-15,WUMC,-.25,ClothingFootwear
2007 SEP,2007-09-15,WUMD,.26,HousingHouseService
2007 SEP,2007-09-15,WUMP,.13,FurnitureHousehold
2007 SEP,2007-09-15,WUMQ,.08,Health
2007 SEP,2007-09-15,WUMW,.42,Transport
2007 SEP,2007-09-15,WUMX,-.07,Communication
2007 SEP,2007-09-15,WUNC,-.16,RecreationCulture
2007 SEP,2007-09-15,WUND,.24,Education
2007 SEP,2007-09-15,WUNE,.5,RestaurantsHotels
2007 SEP,2007-09-15,WUNG,.1,Misc
2008 APR,2008-04-15,WUMA,.68,Food
2008 APR,2008-04-15,WUMB,.18,AlcoholTobacco
2008 APR,2008-04-15,WUMC,-.41,ClothingFootwear
2008 APR,2008-04-15,WUMD,.63,HousingHouseService
2008 APR,2008-04-15,WUMP,.11,FurnitureHousehold
2008 APR,2008-04-15,WUMQ,.08,Health
2008 APR,2008-04-15,WUMW,.93,Transport
2008 APR,2008-04-15,WUMX,-.07,Communication
2008 APR,2008-04-15,WUNC,-.16,RecreationCulture
2008 APR,2008-04-15,WUND,.23,Education
2008 APR,2008-04-15,WUNE,.53,RestaurantsHotels
2008 APR,2008-04-15,WUNG,.23,Misc
2008 AUG,2008-08-15,WUMA,1.36,Food
2008 AUG,2008-08-15,WUMB,.19,AlcoholTobacco
2008 AUG,2008-08-15,WUMC,-.44,ClothingFootwear
2008 AUG,2008-08-15,WUMD,1.16,HousingHouseService
2008 AUG,2008-08-15,WUMP,.23,FurnitureHousehold
2008 AUG,2008-08-15,WUMQ,.07,Health
2008 AUG,2008-08-15,WUMW,1.12,Transport
2008 AUG,2008-08-15,WUMX,-.07,Communication
2008 AUG,2008-08-15,WUNC,-.03,RecreationCulture
2008 AUG,2008-08-15,WUND,.23,Education
2008 AUG,2008-08-15,WUNE,.5600000000000001,RestaurantsHotels
2008 AUG,2008-08-15,WUNG,.34,Misc
2008 DEC,2008-12-15,WUMA,1.13,Food
2008 DEC,2008-12-15,WUMB,.18,AlcoholTobacco
2008 DEC,2008-12-15,WUMC,-.67,ClothingFootwear
2008 DEC,2008-12-15,WUMD,1.63,HousingHouseService
2008 DEC,2008-12-15,WUMP,.06,FurnitureHousehold
2008 DEC,2008-12-15,WUMQ,.05,Health
2008 DEC,2008-12-15,WUMW,.02,Transport
2008 DEC,2008-12-15,WUMX,-.08,Communication
2008 DEC,2008-12-15,WUNC,-.19,RecreationCulture
2008 DEC,2008-12-15,WUND,.16,Education
2008 DEC,2008-12-15,WUNE,.49,RestaurantsHotels
2008 DEC,2008-12-15,WUNG,.26,Misc
2008 FEB,2008-02-15,WUMA,.58,Food
2008 FEB,2008-02-15,WUMB,.12,AlcoholTobacco
2008 FEB,2008-02-15,WUMC,-.3,ClothingFootwear
2008 FEB,2008-02-15,WUMD,.41,HousingHouseService
2008 FEB,2008-02-15,WUMP,.13,FurnitureHousehold
2008 FEB,2008-02-15,WUMQ,.07,Health
2008 FEB,2008-02-15,WUMW,.9399999999999999,Transport
2008 FEB,2008-02-15,WUMX,-.09,Communication
2008 FEB,2008-02-15,WUNC,-.18,RecreationCulture
2008 FEB,2008-02-15,WUND,.24,Education
2008 FEB,2008-02-15,WUNE,.45,RestaurantsHotels
2008 FEB,2008-02-15,WUNG,.12,Misc
2008 JAN,2008-01-15,WUMA,.63,Food
2008 JAN,2008-01-15,WUMB,.1,AlcoholTobacco
2008 JAN,2008-01-15,WUMC,-.32,ClothingFootwear
2008 JAN,2008-01-15,WUMD,.05,HousingHouseService
2008 JAN,2008-01-15,WUMP,.13,FurnitureHousehold
2008 JAN,2008-01-15,WUMQ,.08,Health
2008 JAN,2008-01-15,WUMW,.97,Transport
2008 JAN,2008-01-15,WUMX,-.08,Communication
2008 JAN,2008-01-15,WUNC,-.21,RecreationCulture
2008 JAN,2008-01-15,WUND,.24,Education
2008 JAN,2008-01-15,WUNE,.45,RestaurantsHotels
2008 JAN,2008-01-15,WUNG,.16,Misc
2008 JUL,2008-07-15,WUMA,1.28,Food
2008 JUL,2008-07-15,WUMB,.18,AlcoholTobacco
2008 JUL,2008-07-15,WUMC,-.44,ClothingFootwear
2008 JUL,2008-07-15,WUMD,.87,HousingHouseService
2008 JUL,2008-07-15,WUMP,.21,FurnitureHousehold
2008 JUL,2008-07-15,WUMQ,.08,Health
2008 JUL,2008-07-15,WUMW,1.22,Transport
2008 JUL,2008-07-15,WUMX,-.02,Communication
2008 JUL,2008-07-15,WUNC,-.02,RecreationCulture
2008 JUL,2008-07-15,WUND,.23,Education
2008 JUL,2008-07-15,WUNE,.57,RestaurantsHotels
2008 JUL,2008-07-15,WUNG,.28,Misc
2008 JUN,2008-06-15,WUMA,1,Food
2008 JUN,2008-06-15,WUMB,.19,AlcoholTobacco
2008 JUN,2008-06-15,WUMC,-.48,ClothingFootwear
2008 JUN,2008-06-15,WUMD,.8,HousingHouseService
2008 JUN,2008-06-15,WUMP,.14,FurnitureHousehold
2008 JUN,2008-06-15,WUMQ,.07,Health
2008 JUN,2008-06-15,WUMW,1.1,Transport
2008 JUN,2008-06-15,WUMX,-.03,Communication
2008 JUN,2008-06-15,WUNC,0,RecreationCulture
2008 JUN,2008-06-15,WUND,.23,Education
2008 JUN,2008-06-15,WUNE,.53,RestaurantsHotels
2008 JUN,2008-06-15,WUNG,.27,Misc
2008 MAR,2008-03-15,WUMA,.57,Food
2008 MAR,2008-03-15,WUMB,.11,AlcoholTobacco
2008 MAR,2008-03-15,WUMC,-.34,ClothingFootwear
2008 MAR,2008-03-15,WUMD,.46,HousingHouseService
2008 MAR,2008-03-15,WUMP,.05,FurnitureHousehold
2008 MAR,2008-03-15,WUMQ,.08,Health
2008 MAR,2008-03-15,WUMW,1.06,Transport
2008 MAR,2008-03-15,WUMX,-.1,Communication
2008 MAR,2008-03-15,WUNC,-.23,RecreationCulture
2008 MAR,2008-03-15,WUND,.24,Education
2008 MAR,2008-03-15,WUNE,.45,RestaurantsHotels
2008 MAR,2008-03-15,WUNG,.12,Misc
2008 MAY,2008-05-15,WUMA,.82,Food
2008 MAY,2008-05-15,WUMB,.21,AlcoholTobacco
2008 MAY,2008-05-15,WUMC,-.41,ClothingFootwear
2008 MAY,2008-05-15,WUMD,.73,HousingHouseService
2008 MAY,2008-05-15,WUMP,.13,FurnitureHousehold
2008 MAY,2008-05-15,WUMQ,.07,Health
2008 MAY,2008-05-15,WUMW,.9399999999999999,Transport
2008 MAY,2008-05-15,WUMX,-.06,Communication
2008 MAY,2008-05-15,WUNC,-.12,RecreationCulture
2008 MAY,2008-05-15,WUND,.23,Education
2008 MAY,2008-05-15,WUNE,.54,RestaurantsHotels
2008 MAY,2008-05-15,WUNG,.26,Misc
2008 NOV,2008-11-15,WUMA,1.15,Food
2008 NOV,2008-11-15,WUMB,.17,AlcoholTobacco
2008 NOV,2008-11-15,WUMC,-.46,ClothingFootwear
2008 NOV,2008-11-15,WUMD,1.69,HousingHouseService
2008 NOV,2008-11-15,WUMP,.22,FurnitureHousehold
2008 NOV,2008-11-15,WUMQ,.08,Health
2008 NOV,2008-11-15,WUMW,.21,Transport
2008 NOV,2008-11-15,WUMX,-.04,Communication
2008 NOV,2008-11-15,WUNC,0,RecreationCulture
2008 NOV,2008-11-15,WUND,.16,Education
2008 NOV,2008-11-15,WUNE,.57,RestaurantsHotels
2008 NOV,2008-11-15,WUNG,.33,Misc
2008 OCT,2008-10-15,WUMA,1.08,Food
2008 OCT,2008-10-15,WUMB,.18,AlcoholTobacco
2008 OCT,2008-10-15,WUMC,-.43,ClothingFootwear
2008 OCT,2008-10-15,WUMD,1.73,HousingHouseService
2008 OCT,2008-10-15,WUMP,.22,FurnitureHousehold
2008 OCT,2008-10-15,WUMQ,.06,Health
2008 OCT,2008-10-15,WUMW,.66,Transport
2008 OCT,2008-10-15,WUMX,-.05,Communication
2008 OCT,2008-10-15,WUNC,-.04,RecreationCulture
2008 OCT,2008-10-15,WUND,.16,Education
2008 OCT,2008-10-15,WUNE,.58,RestaurantsHotels
2008 OCT,2008-10-15,WUNG,.3,Misc
2008 SEP,2008-09-15,WUMA,1.19,Food
2008 SEP,2008-09-15,WUMB,.18,AlcoholTobacco
2008 SEP,2008-09-15,WUMC,-.4,ClothingFootwear
2008 SEP,2008-09-15,WUMD,1.71,HousingHouseService
2008 SEP,2008-09-15,WUMP,.21,FurnitureHousehold
2008 SEP,2008-09-15,WUMQ,.07,Health
2008 SEP,2008-09-15,WUMW,1.15,Transport
2008 SEP,2008-09-15,WUMX,-.06,Communication
2008 SEP,2008-09-15,WUNC,.03,RecreationCulture
2008 SEP,2008-09-15,WUND,.2,Education
2008 SEP,2008-09-15,WUNE,.59,RestaurantsHotels
2008 SEP,2008-09-15,WUNG,.34,Misc
2009 APR,2009-04-15,WUMA,.9399999999999999,Food
2009 APR,2009-04-15,WUMB,.13,AlcoholTobacco
2009 APR,2009-04-15,WUMC,-.52,ClothingFootwear
2009 APR,2009-04-15,WUMD,.73,HousingHouseService
2009 APR,2009-04-15,WUMP,.24,FurnitureHousehold
2009 APR,2009-04-15,WUMQ,.06,Health
2009 APR,2009-04-15,WUMW,-.13,Transport
2009 APR,2009-04-15,WUMX,.03,Communication
2009 APR,2009-04-15,WUNC,.08,RecreationCulture
2009 APR,2009-04-15,WUND,.16,Education
2009 APR,2009-04-15,WUNE,.33,RestaurantsHotels
2009 APR,2009-04-15,WUNG,.24,Misc
2009 AUG,2009-08-15,WUMA,.25,Food
2009 AUG,2009-08-15,WUMB,.18,AlcoholTobacco
2009 AUG,2009-08-15,WUMC,-.48,ClothingFootwear
2009 AUG,2009-08-15,WUMD,.39,HousingHouseService
2009 AUG,2009-08-15,WUMP,.2,FurnitureHousehold
2009 AUG,2009-08-15,WUMQ,.06,Health
2009 AUG,2009-08-15,WUMW,.09,Transport
2009 AUG,2009-08-15,WUMX,.03,Communication
2009 AUG,2009-08-15,WUNC,.26,RecreationCulture
2009 AUG,2009-08-15,WUND,.16,Education
2009 AUG,2009-08-15,WUNE,.26,RestaurantsHotels
2009 AUG,2009-08-15,WUNG,.2,Misc
2009 DEC,2009-12-15,WUMA,.19,Food
2009 DEC,2009-12-15,WUMB,.19,AlcoholTobacco
2009 DEC,2009-12-15,WUMC,-.2,ClothingFootwear
2009 DEC,2009-12-15,WUMD,-.1,HousingHouseService
2009 DEC,2009-12-15,WUMP,.37,FurnitureHousehold
2009 DEC,2009-12-15,WUMQ,.07,Health
2009 DEC,2009-12-15,WUMW,1.34,Transport
2009 DEC,2009-12-15,WUMX,.09,Communication
2009 DEC,2009-12-15,WUNC,.43,RecreationCulture
2009 DEC,2009-12-15,WUND,.11,Education
2009 DEC,2009-12-15,WUNE,.23,RestaurantsHotels
2009 DEC,2009-12-15,WUNG,.18,Misc
2009 FEB,2009-02-15,WUMA,1.25,Food
2009 FEB,2009-02-15,WUMB,.24,AlcoholTobacco
2009 FEB,2009-02-15,WUMC,-.58,ClothingFootwear
2009 FEB,2009-02-15,WUMD,1.18,HousingHouseService
2009 FEB,2009-02-15,WUMP,.22,FurnitureHousehold
2009 FEB,2009-02-15,WUMQ,.05,Health
2009 FEB,2009-02-15,WUMW,-.22,Transport
2009 FEB,2009-02-15,WUMX,-.01,Communication
2009 FEB,2009-02-15,WUNC,.05,RecreationCulture
2009 FEB,2009-02-15,WUND,.16,Education
2009 FEB,2009-02-15,WUNE,.49,RestaurantsHotels
2009 FEB,2009-02-15,WUNG,.32,Misc
2009 JAN,2009-01-15,WUMA,1.11,Food
2009 JAN,2009-01-15,WUMB,.23,AlcoholTobacco
2009 JAN,2009-01-15,WUMC,-.63,ClothingFootwear
2009 JAN,2009-01-15,WUMD,1.57,HousingHouseService
2009 JAN,2009-01-15,WUMP,.15,FurnitureHousehold
2009 JAN,2009-01-15,WUMQ,.05,Health
2009 JAN,2009-01-15,WUMW,-.3,Transport
2009 JAN,2009-01-15,WUMX,-.05,Communication
2009 JAN,2009-01-15,WUNC,-.08,RecreationCulture
2009 JAN,2009-01-15,WUND,.16,Education
2009 JAN,2009-01-15,WUNE,.5,RestaurantsHotels
2009 JAN,2009-01-15,WUNG,.3,Misc
2009 JUL,2009-07-15,WUMA,.46,Food
2009 JUL,2009-07-15,WUMB,.18,AlcoholTobacco
2009 JUL,2009-07-15,WUMC,-.48,ClothingFootwear
2009 JUL,2009-07-15,WUMD,.62,HousingHouseService
2009 JUL,2009-07-15,WUMP,.16,FurnitureHousehold
2009 JUL,2009-07-15,WUMQ,.06,Health
2009 JUL,2009-07-15,WUMW,-.18,Transport
2009 JUL,2009-07-15,WUMX,.04,Communication
2009 JUL,2009-07-15,WUNC,.29,RecreationCulture
2009 JUL,2009-07-15,WUND,.16,Education
2009 JUL,2009-07-15,WUNE,.26,RestaurantsHotels
2009 JUL,2009-07-15,WUNG,.2,Misc
2009 JUN,2009-06-15,WUMA,.6,Food
2009 JUN,2009-06-15,WUMB,.15,AlcoholTobacco
2009 JUN,2009-06-15,WUMC,-.49,ClothingFootwear
2009 JUN,2009-06-15,WUMD,.65,HousingHouseService
2009 JUN,2009-06-15,WUMP,.13,FurnitureHousehold
2009 JUN,2009-06-15,WUMQ,.06,Health
2009 JUN,2009-06-15,WUMW,-.17,Transport
2009 JUN,2009-06-15,WUMX,.02,Communication
2009 JUN,2009-06-15,WUNC,.17,RecreationCulture
2009 JUN,2009-06-15,WUND,.16,Education
2009 JUN,2009-06-15,WUNE,.31,RestaurantsHotels
2009 JUN,2009-06-15,WUNG,.2,Misc
2009 MAR,2009-03-15,WUMA,1.14,Food
2009 MAR,2009-03-15,WUMB,.26,AlcoholTobacco
2009 MAR,2009-03-15,WUMC,-.54,ClothingFootwear
2009 MAR,2009-03-15,WUMD,1.01,HousingHouseService
2009 MAR,2009-03-15,WUMP,.23,FurnitureHousehold
2009 MAR,2009-03-15,WUMQ,.05,Health
2009 MAR,2009-03-15,WUMW,-.31,Transport
2009 MAR,2009-03-15,WUMX,-.02,Communication
2009 MAR,2009-03-15,WUNC,.12,RecreationCulture
2009 MAR,2009-03-15,WUND,.16,Education
2009 MAR,2009-03-15,WUNE,.46,RestaurantsHotels
2009 MAR,2009-03-15,WUNG,.3,Misc
2009 MAY,2009-05-15,WUMA,.86,Food
2009 MAY,2009-05-15,WUMB,.18,AlcoholTobacco
2009 MAY,2009-05-15,WUMC,-.49,ClothingFootwear
2009 MAY,2009-05-15,WUMD,.66,HousingHouseService
2009 MAY,2009-05-15,WUMP,.22,FurnitureHousehold
2009 MAY,2009-05-15,WUMQ,.06,Health
2009 MAY,2009-05-15,WUMW,-.14,Transport
2009 MAY,2009-05-15,WUMX,.03,Communication
2009 MAY,2009-05-15,WUNC,.12,RecreationCulture
2009 MAY,2009-05-15,WUND,.16,Education
2009 MAY,2009-05-15,WUNE,.33,RestaurantsHotels
2009 MAY,2009-05-15,WUNG,.22,Misc
2009 NOV,2009-11-15,WUMA,.15,Food
2009 NOV,2009-11-15,WUMB,.19,AlcoholTobacco
2009 NOV,2009-11-15,WUMC,-.37,ClothingFootwear
2009 NOV,2009-11-15,WUMD,-.15,HousingHouseService
2009 NOV,2009-11-15,WUMP,.24,FurnitureHousehold
2009 NOV,2009-11-15,WUMQ,.06,Health
2009 NOV,2009-11-15,WUMW,1.05,Transport
2009 NOV,2009-11-15,WUMX,.04,Communication
2009 NOV,2009-11-15,WUNC,.29,RecreationCulture
2009 NOV,2009-11-15,WUND,.11,Education
2009 NOV,2009-11-15,WUNE,.2,RestaurantsHotels
2009 NOV,2009-11-15,WUNG,.1,Misc
2009 OCT,2009-10-15,WUMA,.25,Food
2009 OCT,2009-10-15,WUMB,.19,AlcoholTobacco
2009 OCT,2009-10-15,WUMC,-.4,ClothingFootwear
2009 OCT,2009-10-15,WUMD,-.17,HousingHouseService
2009 OCT,2009-10-15,WUMP,.22,FurnitureHousehold
2009 OCT,2009-10-15,WUMQ,.08,Health
2009 OCT,2009-10-15,WUMW,.5600000000000001,Transport
2009 OCT,2009-10-15,WUMX,.06,Communication
2009 OCT,2009-10-15,WUNC,.29,RecreationCulture
2009 OCT,2009-10-15,WUND,.11,Education
2009 OCT,2009-10-15,WUNE,.2,RestaurantsHotels
2009 OCT,2009-10-15,WUNG,.13,Misc
2009 SEP,2009-09-15,WUMA,.17,Food
2009 SEP,2009-09-15,WUMB,.19,AlcoholTobacco
2009 SEP,2009-09-15,WUMC,-.41,ClothingFootwear
2009 SEP,2009-09-15,WUMD,-.14,HousingHouseService
2009 SEP,2009-09-15,WUMP,.2,FurnitureHousehold
2009 SEP,2009-09-15,WUMQ,.07,Health
2009 SEP,2009-09-15,WUMW,.22,Transport
2009 SEP,2009-09-15,WUMX,.03,Communication
2009 SEP,2009-09-15,WUNC,.21,RecreationCulture
2009 SEP,2009-09-15,WUND,.15,Education
2009 SEP,2009-09-15,WUNE,.2,RestaurantsHotels
2009 SEP,2009-09-15,WUNG,.2,Misc
2010 APR,2010-04-15,WUMA,.32,Food
2010 APR,2010-04-15,WUMB,.28,AlcoholTobacco
2010 APR,2010-04-15,WUMC,-.02,ClothingFootwear
2010 APR,2010-04-15,WUMD,.02,HousingHouseService
2010 APR,2010-04-15,WUMP,.18,FurnitureHousehold
2010 APR,2010-04-15,WUMQ,.06,Health
2010 APR,2010-04-15,WUMW,1.69,Transport
2010 APR,2010-04-15,WUMX,.14,Communication
2010 APR,2010-04-15,WUNC,.36,RecreationCulture
2010 APR,2010-04-15,WUND,.11,Education
2010 APR,2010-04-15,WUNE,.37,RestaurantsHotels
2010 APR,2010-04-15,WUNG,.22,Misc
2010 AUG,2010-08-15,WUMA,.45,Food
2010 AUG,2010-08-15,WUMB,.18,AlcoholTobacco
2010 AUG,2010-08-15,WUMC,-.09,ClothingFootwear
2010 AUG,2010-08-15,WUMD,.04,HousingHouseService
2010 AUG,2010-08-15,WUMP,.2,FurnitureHousehold
2010 AUG,2010-08-15,WUMQ,.06,Health
2010 AUG,2010-08-15,WUMW,1.22,Transport
2010 AUG,2010-08-15,WUMX,.14,Communication
2010 AUG,2010-08-15,WUNC,.2,RecreationCulture
2010 AUG,2010-08-15,WUND,.11,Education
2010 AUG,2010-08-15,WUNE,.37,RestaurantsHotels
2010 AUG,2010-08-15,WUNG,.24,Misc
2010 DEC,2010-12-15,WUMA,.66,Food
2010 DEC,2010-12-15,WUMB,.23,AlcoholTobacco
2010 DEC,2010-12-15,WUMC,.11,ClothingFootwear
2010 DEC,2010-12-15,WUMD,.25,HousingHouseService
2010 DEC,2010-12-15,WUMP,.17,FurnitureHousehold
2010 DEC,2010-12-15,WUMQ,.07,Health
2010 DEC,2010-12-15,WUMW,1.07,Transport
2010 DEC,2010-12-15,WUMX,.09,Communication
2010 DEC,2010-12-15,WUNC,.23,RecreationCulture
2010 DEC,2010-12-15,WUND,.1,Education
2010 DEC,2010-12-15,WUNE,.44,RestaurantsHotels
2010 DEC,2010-12-15,WUNG,.28,Misc
2010 FEB,2010-02-15,WUMA,.15,Food
2010 FEB,2010-02-15,WUMB,.18,AlcoholTobacco
2010 FEB,2010-02-15,WUMC,-.18,ClothingFootwear
2010 FEB,2010-02-15,WUMD,-.13,HousingHouseService
2010 FEB,2010-02-15,WUMP,.26,FurnitureHousehold
2010 FEB,2010-02-15,WUMQ,.07,Health
2010 FEB,2010-02-15,WUMW,1.6,Transport
2010 FEB,2010-02-15,WUMX,.11,Communication
2010 FEB,2010-02-15,WUNC,.35,RecreationCulture
2010 FEB,2010-02-15,WUND,.11,Education
2010 FEB,2010-02-15,WUNE,.3,RestaurantsHotels
2010 FEB,2010-02-15,WUNG,.15,Misc
2010 JAN,2010-01-15,WUMA,.22,Food
2010 JAN,2010-01-15,WUMB,.26,AlcoholTobacco
2010 JAN,2010-01-15,WUMC,-.26,ClothingFootwear
2010 JAN,2010-01-15,WUMD,-.04,HousingHouseService
2010 JAN,2010-01-15,WUMP,.35,FurnitureHousehold
2010 JAN,2010-01-15,WUMQ,.08,Health
2010 JAN,2010-01-15,WUMW,1.66,Transport
2010 JAN,2010-01-15,WUMX,.1,Communication
2010 JAN,2010-01-15,WUNC,.52,RecreationCulture
2010 JAN,2010-01-15,WUND,.11,Education
2010 JAN,2010-01-15,WUNE,.28,RestaurantsHotels
2010 JAN,2010-01-15,WUNG,.2,Misc
2010 JUL,2010-07-15,WUMA,.37,Food
2010 JUL,2010-07-15,WUMB,.21,AlcoholTobacco
2010 JUL,2010-07-15,WUMC,-.18,ClothingFootwear
2010 JUL,2010-07-15,WUMD,.05,HousingHouseService
2010 JUL,2010-07-15,WUMP,.23,FurnitureHousehold
2010 JUL,2010-07-15,WUMQ,.06,Health
2010 JUL,2010-07-15,WUMW,1.26,Transport
2010 JUL,2010-07-15,WUMX,.16,Communication
2010 JUL,2010-07-15,WUNC,.2,RecreationCulture
2010 JUL,2010-07-15,WUND,.11,Education
2010 JUL,2010-07-15,WUNE,.38,RestaurantsHotels
2010 JUL,2010-07-15,WUNG,.21,Misc
2010 JUN,2010-06-15,WUMA,.21,Food
2010 JUN,2010-06-15,WUMB,.22,AlcoholTobacco
2010 JUN,2010-06-15,WUMC,-.06,ClothingFootwear
2010 JUN,2010-06-15,WUMD,.06,HousingHouseService
2010 JUN,2010-06-15,WUMP,.17,FurnitureHousehold
2010 JUN,2010-06-15,WUMQ,.06,Health
2010 JUN,2010-06-15,WUMW,1.4,Transport
2010 JUN,2010-06-15,WUMX,.16,Communication
2010 JUN,2010-06-15,WUNC,.27,RecreationCulture
2010 JUN,2010-06-15,WUND,.11,Education
2010 JUN,2010-06-15,WUNE,.36,RestaurantsHotels
2010 JUN,2010-06-15,WUNG,.29,Misc
2010 MAR,2010-03-15,WUMA,.24,Food
2010 MAR,2010-03-15,WUMB,.2,AlcoholTobacco
2010 MAR,2010-03-15,WUMC,-.14,ClothingFootwear
2010 MAR,2010-03-15,WUMD,.01,HousingHouseService
