date,Date,CDID,Value,series
2004 JUN,2004-06-15,WUMB,.09,AlcoholTobacco
2004 JUN,2004-06-15,WUMC,-.3,ClothingFootwear
2004 JUN,2004-06-15,WUMD,.38,HousingHouseService
2004 JUN,2004-06-15,WUMP,.02,FurnitureHousehold
2004 JUN,2004-06-15,WUMQ,.05,Health
2004 JUN,2004-06-15,WUMW,.57,Transport
2004 JUN,2004-06-15,WUMX,.02,Communication
2004 JUN,2004-06-15,WUNC,-.18,RecreationCulture
2004 JUN,2004-06-15,WUND,.09,Education
2004 JUN,2004-06-15,WUNE,.4,RestaurantsHotels
2004 JUN,2004-06-15,WUNG,.36,Misc
2004 MAR,2004-03-15,WUMA,.21,Food
2004 MAR,2004-03-15,WUMB,.09,AlcoholTobacco
2004 MAR,2004-03-15,WUMC,-.29,ClothingFootwear
2004 MAR,2004-03-15,WUMD,.27,HousingHouseService
2004 MAR,2004-03-15,WUMP,-.05,FurnitureHousehold
2004 MAR,2004-03-15,WUMQ,.05,Health
2004 MAR,2004-03-15,WUMW,.31,Transport
2004 MAR,2004-03-15,WUMX,.01,Communication
2004 MAR,2004-03-15,WUNC,-.41,RecreationCulture
2004 MAR,2004-03-15,WUND,.09,Education
2004 MAR,2004-03-15,WUNE,.41,RestaurantsHotels
2004 MAR,2004-03-15,WUNG,.43,Misc
2004 MAY,2004-05-15,WUMA,.11,Food
2004 MAY,2004-05-15,WUMB,.09,AlcoholTobacco
2004 MAY,2004-05-15,WUMC,-.29,ClothingFootwear
2004 MAY,2004-05-15,WUMD,.38,HousingHouseService
2004 MAY,2004-05-15,WUMP,-.01,FurnitureHousehold
2004 MAY,2004-05-15,WUMQ,.05,Health
2004 MAY,2004-05-15,WUMW,.55,Transport
2004 MAY,2004-05-15,WUMX,.02,Communication
2004 MAY,2004-05-15,WUNC,-.31,RecreationCulture
2004 MAY,2004-05-15,WUND,.09,Education
2004 MAY,2004-05-15,WUNE,.41,RestaurantsHotels
2004 MAY,2004-05-15,WUNG,.39,Misc
2004 NOV,2004-11-15,WUMA,-.05,Food
2004 NOV,2004-11-15,WUMB,.1,AlcoholTobacco
2004 NOV,2004-11-15,WUMC,-.33,ClothingFootwear
2004 NOV,2004-11-15,WUMD,.51,HousingHouseService
2004 NOV,2004-11-15,WUMP,-.03,FurnitureHousehold
2004 NOV,2004-11-15,WUMQ,.03,Health
2004 NOV,2004-11-15,WUMW,.6,Transport
2004 NOV,2004-11-15,WUMX,-.05,Communication
2004 NOV,2004-11-15,WUNC,-.14,RecreationCulture
2004 NOV,2004-11-15,WUND,.08,Education
2004 NOV,2004-11-15,WUNE,.4,RestaurantsHotels
2004 NOV,2004-11-15,WUNG,.34,Misc
2004 OCT,2004-10-15,WUMA,-.07,Food
2004 OCT,2004-10-15,WUMB,.09,AlcoholTobacco
2004 OCT,2004-10-15,WUMC,-.34,ClothingFootwear
2004 OCT,2004-10-15,WUMD,.45,HousingHouseService
2004 OCT,2004-10-15,WUMP,-.04,FurnitureHousehold
2004 OCT,2004-10-15,WUMQ,.03,Health
2004 OCT,2004-10-15,WUMW,.5,Transport
2004 OCT,2004-10-15,WUMX,-.06,Communication
2004 OCT,2004-10-15,WUNC,-.15,RecreationCulture
2004 OCT,2004-10-15,WUND,.08,Education
2004 OCT,2004-10-15,WUNE,.39,RestaurantsHotels
2004 OCT,2004-10-15,WUNG,.32,Misc
