date,label,month,quarter,sourceDataset,updateDate,value,year
1997,1997,,,MRET,2022-10-11T23:00:00.000Z,355208,1997
1998,1998,,,MRET,2022-10-11T23:00:00.000Z,365049,1998
1999,1999,,,MRET,2022-10-11T23:00:00.000Z,377150,1999
2000,2000,,,MRET,2022-10-11T23:00:00.000Z,412015,2000
2001,2001,,,MRET,2022-10-11T23:00:00.000Z,422503,2001
2002,2002,,,MRET,2022-10-11T23:00:00.000Z,424184,2002
2003,2003,,,MRET,2022-10-11T23:00:00.000Z,430773,2003
2004,2004,,,MRET,2022-10-11T23:00:00.000Z,451620,2004
2005,2005,,,MRET,2022-10-11T23:00:00.000Z,484990,2005
2006,2006,,,MRET,2022-10-11T23:00:00.000Z,544827,2006
2007,2007,,,MRET,2022-10-11T23:00:00.000Z,534891,2007
2008,2008,,,MRET,2022-10-11T23:00:00.000Z,547614,2008
2009,2009,,,MRET,2022-10-11T23:00:00.000Z,498272,2009
2010,2010,,,MRET,2022-10-11T23:00:00.000Z,532319,2010
2011,2011,,,MRET,2022-10-11T23:00:00.000Z,569215,2011
2012,2012,,,MRET,2022-10-11T23:00:00.000Z,573794,2012
2013,2013,,,MRET,2022-10-11T23:00:00.000Z,574985,2013
2014,2014,,,MRET,2022-10-11T23:00:00.000Z,581483,2014
2015,2015,,,MRET,2022-10-11T23:00:00.000Z,604670,2015
2016,2016,,,MRET,2022-10-11T23:00:00.000Z,624134,2016
2017,2017,,,MRET,2022-10-11T23:00:00.000Z,666851,2017
2018,2018,,,MRET,2022-10-11T23:00:00.000Z,687856,2018
2019,2019,,,MRET,2022-10-11T23:00:00.000Z,699654,2019
2020,2020,,,MRET,2022-10-11T23:00:00.000Z,615109,2020
2021,2021,,,MRET,2022-10-11T23:00:00.000Z,613260,2021
