Year,GDP,Country
1979,922.9490453,Ghana
1980,905.6356739,Ghana
1981,849.1810431,Ghana
1982,764.9114447,Ghana
1983,705.010041,Ghana
1984,740.0914935,Ghana
1985,752.9150796,Ghana
1986,768.7030416,Ghana
1987,783.027921,Ghana
1988,804.8413839,Ghana
1989,823.2152522,Ghana
1990,827.6854427,Ghana
1991,847.5739391,Ghana
1992,856.2945284,Ghana
1993,873.3929618,Ghana
1994,877.9895965,Ghana
1995,889.8670651,Ghana
1996,907.7412315,Ghana
1997,923.118188,Ghana
1998,943.5306183,Ghana
1999,961.7923846,Ghana
2000,977.8369874,Ghana
2001,996.8079362,Ghana
2002,1018.224703,Ghana
2003,1044.051673,Ghana
2004,1071.65035,Ghana
2005,1108.701978,Ghana
2006,1129.21558,Ghana
2007,1147.831769,Ghana
2008,1220.684479,Ghana
2009,1247.414337,Ghana
2010,1312.584623,Ghana
2011,1460.608076,Ghana
2012,1558.409265,Ghana
2013,1633.458075,Ghana
2014,1659.739597,Ghana
2015,1684.669643,Ghana
2016,1704.557343,Ghana
1970,1101.548124,Nigeria
1971,1229.526024,Nigeria
1972,1287.148329,Nigeria
1973,1332.859027,Nigeria
1974,1439.449003,Nigeria
1975,1410.605483,Nigeria
1976,1467.891075,Nigeria
1977,1542.224681,Nigeria
1978,1452.616217,Nigeria
1979,1371.070028,Nigeria
1980,1361.984618,Nigeria
1981,1313.559368,Nigeria
1982,1257.761161,Nigeria
1983,1145.031356,Nigeria
1984,1101.284404,Nigeria
1985,1195.088447,Nigeria
1986,1186.336492,Nigeria
1987,1147.580041,Nigeria
1988,1202.544591,Nigeria
1989,1255.255954,Nigeria
1990,1362.233552,Nigeria
1991,1328.149524,Nigeria
1992,1329.145885,Nigeria
1993,1316.474835,Nigeria
1994,1294.137211,Nigeria
1995,1289.441046,Nigeria
1996,1309.723111,Nigeria
1997,1314.45806,Nigeria
1998,1318.219336,Nigeria
1999,1291.823618,Nigeria
2000,1326.887449,Nigeria
2001,1351.059734,Nigeria
2002,1598.660512,Nigeria
2003,1718.107413,Nigeria
2004,1850.194364,Nigeria
2005,1920.384201,Nigeria
2006,1983.737902,Nigeria
2007,2056.838259,Nigeria
2008,2128.666266,Nigeria
2009,2216.499032,Nigeria
2010,2327.320283,Nigeria
2011,2376.638377,Nigeria
2012,2412.860379,Nigeria
2013,2475.947644,Nigeria
2014,2563.091698,Nigeria
2015,2562.521789,Nigeria
2016,2455.91815,Nigeria
1970,149.6940714,Myanmar
1971,150.8557119,Myanmar
1972,147.9381363,Myanmar
1973,146.5997166,Myanmar
1974,147.4866238,Myanmar
1975,149.9289447,Myanmar
1976,154.5236951,Myanmar
1977,158.887973,Myanmar
1978,164.9162219,Myanmar
1979,168.7642679,Myanmar
1980,177.9807898,Myanmar
1981,184.9303493,Myanmar
1982,190.6097553,Myanmar
1983,194.5604238,Myanmar
1984,199.841708,Myanmar
1985,201.3789272,Myanmar
1986,195.3912172,Myanmar
1987,184.0924174,Myanmar
1988,160.3372896,Myanmar
1989,163.5501694,Myanmar
1990,165.6266501,Myanmar
1991,162.2963278,Myanmar
1992,175.7513515,Myanmar
1993,184.1655326,Myanmar
1994,195.608914,Myanmar
1995,206.6570279,Myanmar
1996,217.181025,Myanmar
1997,226.4651176,Myanmar
1998,234.5725601,Myanmar
1999,256.9351289,Myanmar
2000,288.7279453,Myanmar
2001,317.8099078,Myanmar
2002,352.1595924,Myanmar
2003,396.8325002,Myanmar
2004,446.4541456,Myanmar
2005,502.7570102,Myanmar
2006,564.2616531,Myanmar
