date,label,month,quarter,sourceDataset,updateDate,value,year
1955 Q4,1955 Q4,,Q4,PUSF,2019-11-21T00:00:00.000Z,,1955
1956 Q1,1956 Q1,,Q1,PUSF,2019-10-21T23:00:00.000Z,-3.8,1956
1956 Q2,1956 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1956
1956 Q3,1956 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1956
1956 Q4,1956 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1956
1957 Q1,1957 Q1,,Q1,PUSF,2015-10-20T23:00:00.000Z,-3.1,1957
1957 Q2,1957 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1957
1957 Q3,1957 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1957
1957 Q4,1957 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1957
1958 Q1,1958 Q1,,Q1,PUSF,2015-10-20T23:00:00.000Z,-3.2,1958
1958 Q2,1958 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1958
1958 Q3,1958 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1958
1958 Q4,1958 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1958
1959 Q1,1959 Q1,,Q1,PUSF,2019-10-21T23:00:00.000Z,-3.1,1959
1959 Q2,1959 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1959
1959 Q3,1959 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1959
1959 Q4,1959 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1959
1960 Q1,1960 Q1,,Q1,PUSF,2022-10-20T23:00:00.000Z,-1.1,1960
1960 Q2,1960 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1960
1960 Q3,1960 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1960
1960 Q4,1960 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1960
1961 Q1,1961 Q1,,Q1,PUSF,2015-10-20T23:00:00.000Z,-0.9,1961
1961 Q2,1961 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1961
1961 Q3,1961 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1961
1961 Q4,1961 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1961
1962 Q1,1962 Q1,,Q1,PUSF,2015-10-20T23:00:00.000Z,-1.9,1962
1962 Q2,1962 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1962
1962 Q3,1962 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1962
1962 Q4,1962 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1962
1963 Q1,1963 Q1,,Q1,PUSF,2019-10-21T23:00:00.000Z,-2.1,1963
1963 Q2,1963 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1963
1963 Q3,1963 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1963
1963 Q4,1963 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1963
1964 Q1,1964 Q1,,Q1,PUSF,2015-10-20T23:00:00.000Z,-2.2,1964
1964 Q2,1964 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1964
1964 Q3,1964 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1964
1964 Q4,1964 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1964
1965 Q1,1965 Q1,,Q1,PUSF,2015-10-20T23:00:00.000Z,-3.6,1965
1965 Q2,1965 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1965
1965 Q3,1965 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1965
1965 Q4,1965 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1965
1966 Q1,1966 Q1,,Q1,PUSF,2019-10-21T23:00:00.000Z,-4.0,1966
1966 Q2,1966 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1966
1966 Q3,1966 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1966
1966 Q4,1966 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1966
1967 Q1,1967 Q1,,Q1,PUSF,2016-07-20T23:00:00.000Z,-3.9,1967
1967 Q2,1967 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1967
1967 Q3,1967 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1967
1967 Q4,1967 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1967
1968 Q1,1968 Q1,,Q1,PUSF,2016-07-20T23:00:00.000Z,-3.6,1968
1968 Q2,1968 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1968
1968 Q3,1968 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1968
1968 Q4,1968 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1968
1969 Q1,1969 Q1,,Q1,PUSF,2016-07-20T23:00:00.000Z,-6.0,1969
1969 Q2,1969 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1969
1969 Q3,1969 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1969
1969 Q4,1969 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1969
1970 Q1,1970 Q1,,Q1,PUSF,2016-07-20T23:00:00.000Z,-7.7,1970
1970 Q2,1970 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1970
1970 Q3,1970 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1970
1970 Q4,1970 Q4,,Q4,PUSF,2015-10-20T23:00:00.000Z,,1970
1971 Q1,1971 Q1,,Q1,PUSF,2016-07-20T23:00:00.000Z,-6.7,1971
1971 Q2,1971 Q2,,Q2,PUSF,2015-10-20T23:00:00.000Z,,1971
1971 Q3,1971 Q3,,Q3,PUSF,2015-10-20T23:00:00.000Z,,1971
