date,label,month,quarter,sourceDataset,updateDate,value,year
1961,1961,,,PRDY,2017-07-04T23:00:00.000Z,1.2,1961
1962,1962,,,PRDY,2017-07-04T23:00:00.000Z,0.5,1962
1963,1963,,,PRDY,2017-07-04T23:00:00.000Z,0.2,1963
1964,1964,,,PRDY,2017-07-04T23:00:00.000Z,1.4,1964
1965,1965,,,PRDY,2017-07-04T23:00:00.000Z,1.0,1965
1966,1966,,,PRDY,2017-07-04T23:00:00.000Z,0.5,1966
1967,1967,,,PRDY,2017-07-04T23:00:00.000Z,-1.2,1967
1968,1968,,,PRDY,2017-07-04T23:00:00.000Z,-0.5,1968
1969,1969,,,PRDY,2017-07-04T23:00:00.000Z,0.0,1969
1970,1970,,,PRDY,2017-07-04T23:00:00.000Z,-0.4,1970
1971,1971,,,PRDY,2017-07-04T23:00:00.000Z,-1.4,1971
1972,1972,,,PRDY,2017-07-04T23:00:00.000Z,0.3,1972
1973,1973,,,PRDY,2017-07-04T23:00:00.000Z,1.6,1973
1974,1974,,,PRDY,2017-07-04T23:00:00.000Z,0.3,1974
1975,1975,,,PRDY,2017-07-04T23:00:00.000Z,-0.4,1975
1976,1976,,,PRDY,2017-07-04T23:00:00.000Z,-0.6,1976
1977,1977,,,PRDY,2017-07-04T23:00:00.000Z,0.1,1977
1978,1978,,,PRDY,2017-07-04T23:00:00.000Z,0.5,1978
1979,1979,,,PRDY,2017-07-04T23:00:00.000Z,1.0,1979
1980,1980,,,PRDY,2017-07-04T23:00:00.000Z,-0.4,1980
1981,1981,,,PRDY,2017-07-04T23:00:00.000Z,-2.6,1981
1982,1982,,,PRDY,2017-07-04T23:00:00.000Z,-2.0,1982
1983,1983,,,PRDY,2017-07-04T23:00:00.000Z,-0.7,1983
1984,1984,,,PRDY,2017-07-04T23:00:00.000Z,2.1,1984
1985,1985,,,PRDY,2017-07-04T23:00:00.000Z,1.3,1985
1986,1986,,,PRDY,2017-07-04T23:00:00.000Z,0.6,1986
1987,1987,,,PRDY,2017-07-04T23:00:00.000Z,2.0,1987
1988,1988,,,PRDY,2017-07-04T23:00:00.000Z,3.3,1988
1989,1989,,,PRDY,2017-07-04T23:00:00.000Z,2.6,1989
1990,1990,,,PRDY,2017-07-04T23:00:00.000Z,0.5,1990
1991,1991,,,PRDY,2017-07-04T23:00:00.000Z,-2.6,1991
1992,1992,,,PRDY,2017-07-04T23:00:00.000Z,-2.4,1992
1993,1993,,,PRDY,2017-07-04T23:00:00.000Z,-0.9,1993
1994,1994,,,PRDY,2017-07-04T23:00:00.000Z,0.8,1994
1995,1995,,,PRDY,2017-07-04T23:00:00.000Z,1.2,1995
1996,1996,,,PRDY,2017-07-04T23:00:00.000Z,0.9,1996
1997,1997,,,PRDY,2017-07-04T23:00:00.000Z,1.8,1997
1998,1998,,,PRDY,2017-07-04T23:00:00.000Z,1.0,1998
1999,1999,,,PRDY,2017-07-04T23:00:00.000Z,1.4,1999
2000,2000,,,PRDY,2017-07-04T23:00:00.000Z,1.2,2000
2001,2001,,,PRDY,2017-07-04T23:00:00.000Z,0.8,2001
2002,2002,,,PRDY,2017-07-04T23:00:00.000Z,0.8,2002
2003,2003,,,PRDY,2017-07-04T23:00:00.000Z,1.0,2003
2004,2004,,,PRDY,2017-07-04T23:00:00.000Z,1.1,2004
2005,2005,,,PRDY,2017-07-04T23:00:00.000Z,1.1,2005
2006,2006,,,PRDY,2017-07-04T23:00:00.000Z,1.0,2006
2007,2007,,,PRDY,2017-07-04T23:00:00.000Z,0.8,2007
2008,2008,,,PRDY,2017-07-04T23:00:00.000Z,0.9,2008
2009,2009,,,PRDY,2017-07-04T23:00:00.000Z,-1.6,2009
2010,2010,,,PRDY,2017-07-04T23:00:00.000Z,0.2,2010
2011,2011,,,PRDY,2017-07-04T23:00:00.000Z,0.5,2011
2012,2012,,,PRDY,2017-07-04T23:00:00.000Z,1.1,2012
2013,2013,,,PRDY,2017-07-04T23:00:00.000Z,1.2,2013
2014,2014,,,PRDY,2017-07-04T23:00:00.000Z,2.4,2014
2015,2015,,,PRDY,2017-07-04T23:00:00.000Z,1.7,2015
2016,2016,,,PRDY,2019-04-04T23:00:00.000Z,1.5,2016
2017,2017,,,PRDY,2018-04-05T23:00:00.000Z,1.0,2017
2018,2018,,,PRDY,2019-04-04T23:00:00.000Z,1.2,2018
2019,2019,,,PRDY,2020-04-06T23:00:00.000Z,1.1,2019
2020,2020,,,PRDY,2022-07-06T23:00:00.000Z,-0.9,2020
2021,2021,,,PRDY,2022-07-06T23:00:00.000Z,-0.3,2021
