date,label,month,quarter,sourceDataset,updateDate,value,year
1975 Q1,1975 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,53.3,1975
1975 Q2,1975 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1975
1975 Q3,1975 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1975
1975 Q4,1975 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1975
1976 Q1,1976 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,53.8,1976
1976 Q2,1976 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1976
1976 Q3,1976 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1976
1976 Q4,1976 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1976
1977 Q1,1977 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,52.1,1977
1977 Q2,1977 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1977
1977 Q3,1977 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1977
1977 Q4,1977 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1977
1978 Q1,1978 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,48.2,1978
1978 Q2,1978 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1978
1978 Q3,1978 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1978
1978 Q4,1978 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1978
1979 Q1,1979 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,46.4,1979
1979 Q2,1979 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1979
1979 Q3,1979 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1979
1979 Q4,1979 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1979
1980 Q1,1980 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,42.5,1980
1980 Q2,1980 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1980
1980 Q3,1980 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1980
1980 Q4,1980 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1980
1981 Q1,1981 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,42.8,1981
1981 Q2,1981 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1981
1981 Q3,1981 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1981
1981 Q4,1981 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1981
1982 Q1,1982 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,42.3,1982
1982 Q2,1982 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1982
1982 Q3,1982 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1982
1982 Q4,1982 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1982
1983 Q1,1983 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,40.8,1983
1983 Q2,1983 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1983
1983 Q3,1983 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1983
1983 Q4,1983 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1983
1984 Q1,1984 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,40.5,1984
1984 Q2,1984 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1984
1984 Q3,1984 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1984
1984 Q4,1984 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1984
1985 Q1,1985 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,41.1,1985
1985 Q2,1985 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1985
1985 Q3,1985 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1985
1985 Q4,1985 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1985
1986 Q1,1986 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,38.6,1986
1986 Q2,1986 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1986
1986 Q3,1986 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1986
1986 Q4,1986 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1986
1987 Q1,1987 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,37.1,1987
1987 Q2,1987 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1987
1987 Q3,1987 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1987
1987 Q4,1987 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1987
1988 Q1,1988 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,33.1,1988
1988 Q2,1988 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1988
1988 Q3,1988 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1988
1988 Q4,1988 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1988
1989 Q1,1989 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,27.2,1989
1989 Q2,1989 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1989
1989 Q3,1989 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1989
1989 Q4,1989 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1989
1990 Q1,1990 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,24.5,1990
1990 Q2,1990 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1990
1990 Q3,1990 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1990
1990 Q4,1990 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1990
1991 Q1,1991 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,22.6,1991
1991 Q2,1991 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1991
1991 Q3,1991 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1991
1991 Q4,1991 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1991
1992 Q1,1992 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,23.5,1992
1992 Q2,1992 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1992
1992 Q3,1992 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1992
1992 Q4,1992 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1992
1993 Q1,1993 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,27.8,1993
1993 Q2,1993 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1993
1993 Q3,1993 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1993
1993 Q4,1993 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1993
1994 Q1,1994 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,32.5,1994
1994 Q2,1994 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1994
1994 Q3,1994 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1994
1994 Q4,1994 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1994
1995 Q1,1995 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,36.0,1995
1995 Q2,1995 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1995
1995 Q3,1995 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1995
1995 Q4,1995 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1995
1996 Q1,1996 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,37.9,1996
1996 Q2,1996 Q2,,Q2,PUSF,2016-12-21T00:00:00.000Z,,1996
1996 Q3,1996 Q3,,Q3,PUSF,2016-12-21T00:00:00.000Z,,1996
1996 Q4,1996 Q4,,Q4,PUSF,2016-12-21T00:00:00.000Z,,1996
1997 Q1,1997 Q1,,Q1,PUSF,2016-12-21T00:00:00.000Z,38.6,1997
1997 Q2,1997 Q2,,Q2,PUSF,2022-09-20T23:00:00.000Z,38.3,1997
1997 Q3,1997 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,38.0,1997
1997 Q4,1997 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,37.5,1997
1998 Q1,1998 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,36.7,1998
1998 Q2,1998 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,36.9,1998
1998 Q3,1998 Q3,,Q3,PUSF,2022-09-20T23:00:00.000Z,36.3,1998
1998 Q4,1998 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,35.8,1998
1999 Q1,1999 Q1,,Q1,PUSF,2022-10-20T23:00:00.000Z,35.2,1999
1999 Q2,1999 Q2,,Q2,PUSF,2022-09-20T23:00:00.000Z,35.3,1999
1999 Q3,1999 Q3,,Q3,PUSF,2022-10-20T23:00:00.000Z,34.3,1999
1999 Q4,1999 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,34.4,1999
2000 Q1,2000 Q1,,Q1,PUSF,2022-09-20T23:00:00.000Z,32.6,2000
2000 Q2,2000 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,31.2,2000
2000 Q3,2000 Q3,,Q3,PUSF,2022-10-20T23:00:00.000Z,29.4,2000
2000 Q4,2000 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,29.7,2000
2001 Q1,2001 Q1,,Q1,PUSF,2022-10-20T23:00:00.000Z,28.4,2001
2001 Q2,2001 Q2,,Q2,PUSF,2022-10-20T23:00:00.000Z,28.9,2001
2001 Q3,2001 Q3,,Q3,PUSF,2022-09-20T23:00:00.000Z,28.3,2001
2001 Q4,2001 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,28.9,2001
2002 Q1,2002 Q1,,Q1,PUSF,2022-09-20T23:00:00.000Z,28.2,2002
2002 Q2,2002 Q2,,Q2,PUSF,2022-09-20T23:00:00.000Z,28.6,2002
2002 Q3,2002 Q3,,Q3,PUSF,2022-09-20T23:00:00.000Z,28.5,2002
2002 Q4,2002 Q4,,Q4,PUSF,2022-09-20T23:00:00.000Z,30.2,2002
2003 Q1,2003 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,29.9,2003
2003 Q2,2003 Q2,,Q2,PUSF,2022-09-20T23:00:00.000Z,29.9,2003
2003 Q3,2003 Q3,,Q3,PUSF,2022-10-20T23:00:00.000Z,30.2,2003
2003 Q4,2003 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,31.5,2003
2004 Q1,2004 Q1,,Q1,PUSF,2022-09-20T23:00:00.000Z,31.0,2004
2004 Q2,2004 Q2,,Q2,PUSF,2022-09-20T23:00:00.000Z,32.6,2004
2004 Q3,2004 Q3,,Q3,PUSF,2022-09-20T23:00:00.000Z,32.7,2004
2004 Q4,2004 Q4,,Q4,PUSF,2022-09-20T23:00:00.000Z,34.2,2004
2005 Q1,2005 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,33.6,2005
2005 Q2,2005 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,34.0,2005
2005 Q3,2005 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,34.2,2005
2005 Q4,2005 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,35.2,2005
2006 Q1,2006 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,34.5,2006
2006 Q2,2006 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,35.5,2006
2006 Q3,2006 Q3,,Q3,PUSF,2022-10-20T23:00:00.000Z,35.4,2006
2006 Q4,2006 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,36.0,2006
2007 Q1,2007 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,35.3,2007
2007 Q2,2007 Q2,,Q2,PUSF,2022-10-20T23:00:00.000Z,35.8,2007
2007 Q3,2007 Q3,,Q3,PUSF,2022-10-20T23:00:00.000Z,35.4,2007
2007 Q4,2007 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,36.4,2007
2008 Q1,2008 Q1,,Q1,PUSF,2022-10-20T23:00:00.000Z,35.8,2008
2008 Q2,2008 Q2,,Q2,PUSF,2022-10-20T23:00:00.000Z,37.8,2008
2008 Q3,2008 Q3,,Q3,PUSF,2022-09-20T23:00:00.000Z,43.2,2008
2008 Q4,2008 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,48.1,2008
2009 Q1,2009 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,50.6,2009
2009 Q2,2009 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,54.2,2009
2009 Q3,2009 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,55.5,2009
2009 Q4,2009 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,60.0,2009
2010 Q1,2010 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,63.9,2010
2010 Q2,2010 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,65.7,2010
2010 Q3,2010 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,67.5,2010
2010 Q4,2010 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,69.9,2010
2011 Q1,2011 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,70.6,2011
2011 Q2,2011 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,72.2,2011
2011 Q3,2011 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,72.9,2011
2011 Q4,2011 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,74.3,2011
2012 Q1,2012 Q1,,Q1,PUSF,2022-10-20T23:00:00.000Z,74.6,2012
2012 Q2,2012 Q2,,Q2,PUSF,2022-10-20T23:00:00.000Z,74.6,2012
2012 Q3,2012 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,75.2,2012
2012 Q4,2012 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,76.8,2012
2013 Q1,2013 Q1,,Q1,PUSF,2022-10-20T23:00:00.000Z,76.2,2013
2013 Q2,2013 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,76.7,2013
2013 Q3,2013 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,76.3,2013
2013 Q4,2013 Q4,,Q4,PUSF,2022-10-20T23:00:00.000Z,77.2,2013
2014 Q1,2014 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,77.0,2014
2014 Q2,2014 Q2,,Q2,PUSF,2022-10-20T23:00:00.000Z,78.1,2014
2014 Q3,2014 Q3,,Q3,PUSF,2022-10-20T23:00:00.000Z,78.6,2014
2014 Q4,2014 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,79.8,2014
2015 Q1,2015 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,79.2,2015
2015 Q2,2015 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,79.8,2015
2015 Q3,2015 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,79.7,2015
2015 Q4,2015 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,79.8,2015
2016 Q1,2016 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,78.9,2016
2016 Q2,2016 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,78.9,2016
2016 Q3,2016 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,78.5,2016
2016 Q4,2016 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,78.9,2016
2017 Q1,2017 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,77.4,2017
2017 Q2,2017 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,77.3,2017
2017 Q3,2017 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,77.3,2017
2017 Q4,2017 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,74.5,2017
2018 Q1,2018 Q1,,Q1,PUSF,2023-10-19T23:00:00.000Z,73.7,2018
2018 Q2,2018 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,73.6,2018
2018 Q3,2018 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,72.9,2018
2018 Q4,2018 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,73.2,2018
2019 Q1,2019 Q1,,Q1,PUSF,2023-03-21T00:00:00.000Z,72.3,2019
2019 Q2,2019 Q2,,Q2,PUSF,2023-10-19T23:00:00.000Z,72.5,2019
2019 Q3,2019 Q3,,Q3,PUSF,2023-10-19T23:00:00.000Z,72.4,2019
2019 Q4,2019 Q4,,Q4,PUSF,2023-10-19T23:00:00.000Z,76.4,2019
