date,label,month,quarter,sourceDataset,updateDate,value,year
1971 Q1,1971 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,92.1,1971
1971 Q2,1971 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,91.7,1971
1971 Q3,1971 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,91.2,1971
1971 Q4,1971 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,90.8,1971
1972 Q1,1972 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,91.0,1972
1972 Q2,1972 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,91.1,1972
1972 Q3,1972 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,91.0,1972
1972 Q4,1972 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,91.2,1972
1973 Q1,1973 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,91.8,1973
1973 Q2,1973 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,91.9,1973
1973 Q3,1973 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,91.6,1973
1973 Q4,1973 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,91.4,1973
1974 Q1,1974 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,91.1,1974
1974 Q2,1974 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,90.9,1974
1974 Q3,1974 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,90.9,1974
1974 Q4,1974 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,90.8,1974
1975 Q1,1975 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,90.4,1975
1975 Q2,1975 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,90.1,1975
1975 Q3,1975 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,89.8,1975
1975 Q4,1975 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,89.5,1975
1976 Q1,1976 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,89.1,1976
1976 Q2,1976 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,88.8,1976
1976 Q3,1976 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,88.6,1976
1976 Q4,1976 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,88.5,1976
1977 Q1,1977 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,88.3,1977
1977 Q2,1977 Q2,,Q2,LMS,2015-10-13T23:00:00.000Z,88.1,1977
1977 Q3,1977 Q3,,Q3,LMS,2015-10-13T23:00:00.000Z,87.9,1977
1977 Q4,1977 Q4,,Q4,LMS,2015-10-13T23:00:00.000Z,87.7,1977
1978 Q1,1978 Q1,,Q1,LMS,2015-10-13T23:00:00.000Z,87.6,1978
