,date,band,value,value_%
123,2015/12,620-659,24.0,5.493247882810713
124,2016/03,620-659,17.9,4.6062789500772
125,2016/06,620-659,24.66,5.780997257191083
126,2016/09,620-659,23.48,4.921812769882195
127,2016/12,620-659,27.97,4.5347687219312895
128,2017/03,620-659,22.75,4.62991228605735
129,2017/06,620-659,22.79,5.407521651441452
130,2017/09,620-659,23.89,4.983832272869511
131,2017/12,620-659,23.68,5.244739756367664
132,2018/03,620-659,20.95,4.896118161209657
133,2018/06,620-659,21.07,4.81644036026151
134,2018/09,620-659,23.82,5.349683331087455
135,2018/12,620-659,23.88,5.947992428016339
136,2019/03,620-659,19.24,5.592698098947736
137,2019/06,620-659,26.94,5.682944837042506
138,2019/09,620-659,23.57,4.461902508282063
139,2019/12,620-659,28.51,3.7913746559038257
140,2020/03,620-659,24.05,3.634742394244866
141,2020/06,620-659,26.64,3.14741082926714
142,2020/09,620-659,28.46,2.7124136287824636
143,2020/12,620-659,32.38,2.7567770058575127
144,2003/03,660-719,188.33,19.435500515995873
145,2003/06,660-719,203.73,20.079834417504433
146,2003/09,660-719,215.7,20.278273949421827
147,2003/12,660-719,212.36,20.655578251142888
148,2004/03,660-719,150.0,22.838002436053596
149,2004/06,660-719,169.62,23.859895906597274
150,2004/09,660-719,175.58,22.3157092018302
151,2004/12,660-719,158.89,23.66547512660113
152,2005/03,660-719,150.98,22.903519417475728
153,2005/06,660-719,140.88,22.273517786561264
154,2005/09,660-719,184.63,24.232838955243473
155,2005/12,660-719,184.83,23.10375
156,2006/03,660-719,145.72,21.578557678069007
157,2006/06,660-719,172.34,23.640603566529492
158,2006/09,660-719,165.51,22.99069315182664
159,2006/12,660-719,137.7,21.451939554447733
160,2007/03,660-719,169.93,22.60609285619263
161,2007/06,660-719,130.47,20.13115259990742
162,2007/09,660-719,146.41,20.859096737426984
163,2007/12,660-719,105.11,20.425573260785075
164,2008/03,660-719,88.48,19.523389232127098
165,2008/06,660-719,98.24,17.60889048216526
166,2008/09,660-719,70.55,17.91518537328593
167,2008/12,660-719,52.44,17.364238410596027
168,2009/03,660-719,60.86,15.306841046277665
169,2009/06,660-719,64.46,12.487407981402555
170,2009/09,660-719,70.25,13.739487580676707
171,2009/12,660-719,57.67,14.68551056786351
172,2010/03,660-719,53.11,13.994729907773387
173,2010/06,660-719,52.43,14.332968835429197
174,2010/09,660-719,60.0,15.420200462606012
175,2010/12,660-719,47.6,10.280777537796977
176,2011/03,660-719,47.96,9.646017699115045
177,2011/06,660-719,41.58,11.815856777493607
178,2011/09,660-719,41.03,14.036948340745809
179,2011/12,660-719,48.37,11.969809453105666
180,2012/03,660-719,45.91,11.148615832928604
181,2012/06,660-719,53.17,11.513642269380684
182,2012/09,660-719,60.07,11.53860929696504
183,2012/12,660-719,71.72,12.973950795947903
184,2013/03,660-719,68.38,11.85506241331484
185,2013/06,660-719,77.09,13.31663499740888
186,2013/09,660-719,78.65,14.331268221574348
187,2013/12,660-719,65.7,14.55471865307931
188,2014/03,660-719,50.64,15.257607713166617
189,2014/06,660-719,49.34,17.26986349317466
190,2014/09,660-719,61.08,18.124629080118694
191,2014/12,660-719,62.41,17.61998870694523
192,2015/03,660-719,60.19,16.333785617367706
193,2015/06,660-719,73.47,15.776250805239425
194,2015/09,660-719,73.35,14.996933142506643
195,2015/12,660-719,77.4,17.715724422064547
196,2016/03,660-719,64.4,16.572310859495627
197,2016/06,660-719,71.09,16.665494526103572
198,2016/09,660-719,78.57,16.46962646208024
199,2016/12,660-719,100.6,16.310251463220872
200,2017/03,660-719,74.15,15.090461363127583
201,2017/06,660-719,73.02,17.325898683117806
202,2017/09,660-719,84.0,17.523730051110878
203,2017/12,660-719,74.87,16.582502768549283
204,2018/03,660-719,66.88,15.630185328004861
205,2018/06,660-719,71.7,16.390069949252503
206,2018/09,660-719,73.77,16.567847998921977
207,2018/12,660-719,68.17,16.979675201753512
208,2019/03,660-719,55.57,16.153130631940005
209,2019/06,660-719,70.71,14.916148085644974
210,2019/09,660-719,78.2,14.803596781826785
211,2019/12,660-719,98.38,13.08296873545487
212,2020/03,660-719,83.96,12.68910484078166
213,2020/06,660-719,94.2,11.129358112498672
214,2020/09,660-719,106.8,10.178699070764832
215,2020/12,660-719,124.9,10.633769241247787
216,2003/03,720-759,336.1,34.68524251805986
217,2003/06,720-759,352.85,34.7772521190617
218,2003/09,720-759,363.92,34.21265394378114
219,2003/12,720-759,349.56,34.000583600817045
220,2004/03,720-759,213.45,32.49847746650427
221,2004/06,720-759,216.33,30.43044028696019
222,2004/09,720-759,246.98,31.390442297915612
223,2004/12,720-759,209.93,31.267500744712546
224,2005/03,720-759,199.03,30.192657766990287
225,2005/06,720-759,184.27,29.133596837944665
226,2005/09,720-759,228.94,30.04856280351752
227,2005/12,720-759,238.86,29.8575
228,2006/03,720-759,213.19,31.569672738042353
229,2006/06,720-759,220.4,30.233196159122084
230,2006/09,720-759,203.81,28.310876510626475
231,2006/12,720-759,191.52,29.836423118865866
232,2007/03,720-759,209.97,27.932685911932946
233,2007/06,720-759,192.46,29.6960345625675
234,2007/09,720-759,212.07,30.21370565607636
235,2007/12,720-759,148.91,28.937038476486588
236,2008/03,720-759,139.96,30.882612533097976
237,2008/06,720-759,157.14,28.16633805341459
238,2008/09,720-759,118.8,30.167597765363123
239,2008/12,720-759,82.77,27.40728476821192
240,2009/03,720-759,109.99,27.66348088531187
241,2009/06,720-759,140.17,27.15420379697791
242,2009/09,720-759,137.89,26.96851163700371
243,2009/12,720-759,113.64,28.938120702826588
244,2010/03,720-759,100.67,26.527009222661395
245,2010/06,720-759,100.62,27.506834335702568
246,2010/09,720-759,115.65,29.722436391673092
247,2010/12,720-759,122.86,26.53563714902808
248,2011/03,720-759,134.53,27.057522123893808
249,2011/06,720-759,97.42,27.684001136686557
250,2011/09,720-759,93.55,32.00478959972631
251,2011/12,720-759,106.39,26.327641672853254
252,2012/03,720-759,100.25,24.344341913550267
253,2012/06,720-759,128.98,27.929839757470766
254,2012/09,720-759,145.03,27.8582404917403
255,2012/12,720-759,155.58,28.143994211287993
256,2013/03,720-759,140.57,24.370665742024965
257,2013/06,720-759,158.75,27.422698220763518
258,2013/09,720-759,149.93,27.319606413994173
259,2013/12,720-759,134.57,29.811696942844485
260,2014/03,720-759,92.05,27.734257306417597
261,2014/06,720-759,77.02,26.95834791739587
262,2014/09,720-759,100.72,29.887240356083083
263,2014/12,720-759,100.64,28.41332580463015
264,2015/03,720-759,97.45,26.445047489823608
265,2015/06,720-759,122.05,26.207859136783334
266,2015/09,720-759,88.52,18.09854835411981
267,2015/12,720-759,70.8,16.2050812542916
268,2016/03,720-759,65.2,16.778178075141533
269,2016/06,720-759,76.17,17.85638933820944
270,2016/09,720-759,76.35,16.004276191674002
271,2016/12,720-759,105.2,17.0560482498095
272,2017/03,720-759,77.65,15.80275556098256
273,2017/06,720-759,81.02,19.22410724878396
274,2017/09,720-759,78.89,16.4577031396683
275,2017/12,720-759,76.28,16.89479512735327
276,2018/03,720-759,76.42,17.85973030451752
277,2018/06,720-759,73.94,16.902116764961367
278,2018/09,720-759,79.55,17.865965952477204
279,2018/12,720-759,61.93,15.4254259240809
280,2019/03,720-759,61.21,17.792570199407013
281,2019/06,720-759,78.19,16.494040713004956
282,2019/09,720-759,86.29,16.335068622811168
283,2019/12,720-759,119.6,15.904889822732288
284,2020/03,720-759,109.1,16.488581921501655
285,2020/06,720-759,120.6,14.248413889249893
286,2020/09,720-759,142.4,13.571598761019777
287,2020/12,720-759,158.6,13.50292875630023
288,2003/03,760+,304.24,31.39731682146543
289,2003/06,760+,316.03,31.148235757934156
290,2003/09,760+,324.71,30.52646422863589
291,2003/12,760+,289.7,28.17819278280323
292,2004/03,760+,150.59,22.927831912302075
293,2004/06,760+,167.23,23.523702349134897
294,2004/09,760+,192.05,24.408998474834775
295,2004/12,760+,146.26,21.784331248138216
296,2005/03,760+,168.98,25.634101941747566
297,2005/06,760+,154.66,24.452173913043477
298,2005/09,760+,190.71,25.030843942774645
299,2005/12,760+,211.56,26.445
300,2006/03,760+,162.82,24.110765585665632
301,2006/06,760+,162.52,22.293552812071333
302,2006/09,760+,176.54,24.52285039588832
303,2006/12,760+,149.43,23.279326997974763
304,2007/03,760+,179.3,23.85260077158441
305,2007/06,760+,177.39,27.370776114797096
306,2007/09,760+,198.64,28.30032768200598
307,2007/12,760+,162.35,31.5487757481539
308,2008/03,760+,139.13,30.69947043248014
309,2008/06,760+,214.97,38.53199498117942
310,2008/09,760+,141.23,35.86338242762823
311,2008/12,760+,112.29,37.182119205298015
312,2009/03,760+,172.75,43.44818913480885
313,2009/06,760+,263.91,51.12553273924836
314,2009/09,760+,256.87,50.238607471151965
315,2009/12,760+,177.34,45.15915457091928
316,2010/03,760+,182.3,48.0368906455863
317,2010/06,760+,176.13,48.149261891744125
318,2010/09,760+,179.18,46.04985864816242
319,2010/12,760+,255.34,55.14902807775378
320,2011/03,760+,285.79,57.4798873692679
321,2011/06,760+,185.94,52.838874680306915
322,2011/09,760+,128.99,44.12931919261033
323,2011/12,760+,219.03,54.20193021529324
324,2012/03,760+,235.5,57.18795531811559
325,2012/06,760+,251.92,54.55175400606323
326,2012/09,760+,278.52,53.49980791394544
327,2012/12,760+,285.77,51.69500723589001
328,2013/03,760+,332.36,57.621359223300985
329,2013/06,760+,303.75,52.470202107445154
330,2013/09,760+,278.64,50.77259475218659
331,2013/12,760+,216.01,47.85334514842712
332,2014/03,760+,151.94,45.77884905091895
333,2014/06,760+,132.1,46.23731186559328
334,2014/09,760+,143.58,42.605341246290806
335,2014/12,760+,154.22,43.54037267080745
336,2015/03,760+,181.95,49.37584803256445
337,2015/06,760+,232.26,49.873308997208504
338,2015/09,760+,287.7,58.82232672255162
339,2015/12,760+,243.3,55.68780041199359
340,2016/03,760+,225.7,58.08028821410189
341,2016/06,760+,240.1,56.2861898398856
342,2016/09,760+,282.9,59.300716890957105
343,2016/12,760+,360.2,58.39913098461389
344,2017/03,760+,299.1,60.870627022406744
345,2017/06,760+,229.4,54.43113062047693
346,2017/09,760+,274.0,57.160738500052155
