date,label,month,quarter,sourceDataset,updateDate,value,year
2015 FEB,2015 FEB,February,,MM23,2017-03-14T00:00:00.000Z,2.1,2015
2015 MAR,2015 MAR,March,,MM23,2017-03-14T00:00:00.000Z,1.0,2015
2015 APR,2015 APR,April,,MM23,2017-03-14T00:00:00.000Z,-0.5,2015
2015 MAY,2015 MAY,May,,MM23,2017-03-14T00:00:00.000Z,0.9,2015
2015 JUN,2015 JUN,June,,MM23,2017-03-14T00:00:00.000Z,-0.5,2015
2015 JUL,2015 JUL,July,,MM23,2017-03-14T00:00:00.000Z,-1.7,2015
2015 AUG,2015 AUG,August,,MM23,2017-03-14T00:00:00.000Z,1.5,2015
2015 SEP,2015 SEP,September,,MM23,2021-08-17T23:00:00.000Z,0.0,2015
2015 OCT,2015 OCT,October,,MM23,2017-03-14T00:00:00.000Z,1.3,2015
2015 NOV,2015 NOV,November,,MM23,2017-03-14T00:00:00.000Z,-0.3,2015
2015 DEC,2015 DEC,December,,MM23,2017-03-14T00:00:00.000Z,1.2,2015
2016 JAN,2016 JAN,January,,MM23,2017-03-14T00:00:00.000Z,-2.9,2016
2016 FEB,2016 FEB,February,,MM23,2017-03-14T00:00:00.000Z,1.6,2016
2016 MAR,2016 MAR,March,,MM23,2017-03-14T00:00:00.000Z,0.1,2016
2016 APR,2016 APR,April,,MM23,2017-03-14T00:00:00.000Z,-2.1,2016
2016 MAY,2016 MAY,May,,MM23,2017-03-14T00:00:00.000Z,0.4,2016
2016 JUN,2016 JUN,June,,MM23,2017-03-14T00:00:00.000Z,-0.2,2016
2016 JUL,2016 JUL,July,,MM23,2017-03-14T00:00:00.000Z,-2.5,2016
2016 AUG,2016 AUG,August,,MM23,2017-03-14T00:00:00.000Z,3.4,2016
2016 SEP,2016 SEP,September,,MM23,2017-03-14T00:00:00.000Z,-2.2,2016
2016 OCT,2016 OCT,October,,MM23,2017-03-14T00:00:00.000Z,1.8,2016
2016 NOV,2016 NOV,November,,MM23,2017-03-14T00:00:00.000Z,0.2,2016
2016 DEC,2016 DEC,December,,MM23,2017-03-14T00:00:00.000Z,-0.8,2016
2017 JAN,2017 JAN,January,,MM23,2017-03-14T00:00:00.000Z,-2.1,2017
2017 FEB,2017 FEB,February,,MM23,2017-03-21T00:00:00.000Z,3.1,2017
2017 MAR,2017 MAR,March,,MM23,2017-04-10T23:00:00.000Z,2.2,2017
2017 APR,2017 APR,April,,MM23,2017-05-15T23:00:00.000Z,-0.8,2017
2017 MAY,2017 MAY,May,,MM23,2017-06-12T23:00:00.000Z,2.0,2017
2017 JUN,2017 JUN,June,,MM23,2017-07-17T23:00:00.000Z,-1.6,2017
2017 JUL,2017 JUL,July,,MM23,2017-08-14T23:00:00.000Z,-0.9,2017
2017 AUG,2017 AUG,August,,MM23,2017-09-11T23:00:00.000Z,1.3,2017
2017 SEP,2017 SEP,September,,MM23,2017-10-16T23:00:00.000Z,-0.9,2017
2017 OCT,2017 OCT,October,,MM23,2017-11-14T00:00:00.000Z,0.0,2017
2017 NOV,2017 NOV,November,,MM23,2017-12-12T00:00:00.000Z,1.6,2017
2017 DEC,2017 DEC,December,,MM23,2018-01-16T00:00:00.000Z,-1.1,2017
2018 JAN,2018 JAN,January,,MM23,2018-02-13T00:00:00.000Z,-1.6,2018
2018 FEB,2018 FEB,February,,MM23,2018-03-20T00:00:00.000Z,1.0,2018
2018 MAR,2018 MAR,March,,MM23,2018-04-17T23:00:00.000Z,1.2,2018
2018 APR,2018 APR,April,,MM23,2018-05-22T23:00:00.000Z,1.9,2018
2018 MAY,2018 MAY,May,,MM23,2018-06-12T23:00:00.000Z,-0.4,2018
2018 JUN,2018 JUN,June,,MM23,2018-07-17T23:00:00.000Z,-1.3,2018
2018 JUL,2018 JUL,July,,MM23,2018-08-14T23:00:00.000Z,-0.8,2018
2018 AUG,2018 AUG,August,,MM23,2018-09-18T23:00:00.000Z,-0.7,2018
2018 SEP,2018 SEP,September,,MM23,2018-10-16T23:00:00.000Z,1.9,2018
2018 OCT,2018 OCT,October,,MM23,2018-11-14T00:00:00.000Z,0.9,2018
2018 NOV,2018 NOV,November,,MM23,2018-12-19T00:00:00.000Z,-1.8,2018
2018 DEC,2018 DEC,December,,MM23,2019-01-16T00:00:00.000Z,1.0,2018
2019 JAN,2019 JAN,January,,MM23,2019-02-13T00:00:00.000Z,-3.2,2019
2019 FEB,2019 FEB,February,,MM23,2019-03-20T00:00:00.000Z,2.4,2019
2019 MAR,2019 MAR,March,,MM23,2019-04-16T23:00:00.000Z,2.0,2019
2019 APR,2019 APR,April,,MM23,2019-05-21T23:00:00.000Z,-1.8,2019
2019 MAY,2019 MAY,May,,MM23,2019-06-18T23:00:00.000Z,0.6,2019
2019 JUN,2019 JUN,June,,MM23,2019-07-16T23:00:00.000Z,0.5,2019
2019 JUL,2019 JUL,July,,MM23,2019-08-13T23:00:00.000Z,-2.2,2019
2019 AUG,2019 AUG,August,,MM23,2019-09-17T23:00:00.000Z,2.1,2019
2019 SEP,2019 SEP,September,,MM23,2019-10-15T23:00:00.000Z,-1.4,2019
2019 OCT,2019 OCT,October,,MM23,2019-11-13T00:00:00.000Z,1.4,2019
2019 NOV,2019 NOV,November,,MM23,2019-12-18T00:00:00.000Z,-0.6,2019
