HOUR,referrer channel,purchase count
14,internal,0
14,internal,0
14,typed_bookmarked,1
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,1
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,1
14,internal,0
14,internal,1
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,1
14,internal,0
14,internal,0
14,typed_bookmarked,1
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,1
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,1
14,internal,0
14,typed_bookmarked,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,1
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,1
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,typed_bookmarked,1
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,typed_bookmarked,1
14,typed_bookmarked,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,1
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,1
14,internal,1
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,1
14,internal,1
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,1
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,1
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,search_engine,0
14,typed_bookmarked,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,1
14,internal,1
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,typed_bookmarked,0
14,typed_bookmarked,0
14,internal,1
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,1
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,1
14,internal,0
14,internal,0
14,internal,0
14,internal,0
14,internal,1
14,typed_bookmarked,0
14,typed_bookmarked,0
14,typed_bookmarked,0
14,internal,1
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
14,internal,0
14,typed_bookmarked,0
14,internal,0
14,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,typed_bookmarked,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,typed_bookmarked,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,typed_bookmarked,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,typed_bookmarked,0
16,typed_bookmarked,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,1
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,external,0
16,typed_bookmarked,0
16,external,0
16,typed_bookmarked,1
16,external,1
16,typed_bookmarked,0
16,external,0
16,typed_bookmarked,0
16,external,1
16,typed_bookmarked,0
16,external,0
16,external,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,typed_bookmarked,1
16,internal,0
16,internal,1
16,typed_bookmarked,1
16,internal,0
16,internal,1
16,typed_bookmarked,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,1
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,typed_bookmarked,1
16,internal,0
16,internal,1
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,1
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,typed_bookmarked,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,1
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,1
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,1
16,internal,0
16,typed_bookmarked,1
16,internal,1
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,1
16,typed_bookmarked,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,typed_bookmarked,1
16,typed_bookmarked,0
16,typed_bookmarked,0
16,internal,0
16,typed_bookmarked,0
16,typed_bookmarked,1
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,1
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,1
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,typed_bookmarked,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,1
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
16,typed_bookmarked,0
16,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,1
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
13,internal,0
13,typed_bookmarked,1
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,0
13,internal,1
13,internal,1
13,internal,0
13,internal,0
13,internal,0
13,typed_bookmarked,0
