date,label,month,quarter,sourceDataset,updateDate,value,year
2001 MAY,2001 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,568,2001
2001 JUN,2001 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,564,2001
2001 JUL,2001 JUN-AUG,July,,LMS,2016-03-16T09:30:00.000Z,553,2001
2001 AUG,2001 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,554,2001
2001 SEP,2001 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,536,2001
2001 OCT,2001 SEP-NOV,October,,LMS,2016-03-16T09:30:00.000Z,526,2001
2001 NOV,2001 OCT-DEC,November,,LMS,2016-03-16T09:30:00.000Z,511,2001
2001 DEC,2001 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,512,2001
2002 JAN,2001 DEC-FEB,January,,LMS,2016-03-16T09:30:00.000Z,521,2002
2002 FEB,2002 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,522,2002
2002 MAR,2002 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,526,2002
2002 APR,2002 MAR-MAY,April,,LMS,2022-04-11T23:00:00.000Z,519,2002
2002 MAY,2002 APR-JUN,May,,LMS,2016-03-16T09:30:00.000Z,518,2002
2002 JUN,2002 MAY-JUL,June,,LMS,2016-03-16T09:30:00.000Z,514,2002
2002 JUL,2002 JUN-AUG,July,,LMS,2022-04-11T23:00:00.000Z,516,2002
2002 AUG,2002 JUL-SEP,August,,LMS,2016-03-16T09:30:00.000Z,517,2002
2002 SEP,2002 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,518,2002
2002 OCT,2002 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,515,2002
2002 NOV,2002 OCT-DEC,November,,LMS,2016-03-16T09:30:00.000Z,512,2002
2002 DEC,2002 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,510,2002
2003 JAN,2002 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,504,2003
2003 FEB,2003 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,504,2003
2003 MAR,2003 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,499,2003
2003 APR,2003 MAR-MAY,April,,LMS,2021-04-19T23:00:00.000Z,500,2003
2003 MAY,2003 APR-JUN,May,,LMS,2016-03-16T09:30:00.000Z,493,2003
2003 JUN,2003 MAY-JUL,June,,LMS,2016-03-16T09:30:00.000Z,488,2003
2003 JUL,2003 JUN-AUG,July,,LMS,2022-04-11T23:00:00.000Z,488,2003
2003 AUG,2003 JUL-SEP,August,,LMS,2016-03-16T09:30:00.000Z,502,2003
2003 SEP,2003 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,513,2003
2003 OCT,2003 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,517,2003
2003 NOV,2003 OCT-DEC,November,,LMS,2016-03-16T09:30:00.000Z,521,2003
2003 DEC,2003 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,522,2003
2004 JAN,2003 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,529,2004
2004 FEB,2004 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,535,2004
2004 MAR,2004 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,540,2004
2004 APR,2004 MAR-MAY,April,,LMS,2016-03-16T09:30:00.000Z,544,2004
2004 MAY,2004 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,547,2004
2004 JUN,2004 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,556,2004
2004 JUL,2004 JUN-AUG,July,,LMS,2016-03-16T09:30:00.000Z,555,2004
2004 AUG,2004 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,558,2004
2004 SEP,2004 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,559,2004
2004 OCT,2004 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,564,2004
2004 NOV,2004 OCT-DEC,November,,LMS,2022-04-11T23:00:00.000Z,569,2004
2004 DEC,2004 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,569,2004
2005 JAN,2004 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,567,2005
2005 FEB,2005 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,552,2005
2005 MAR,2005 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,550,2005
2005 APR,2005 MAR-MAY,April,,LMS,2016-03-16T09:30:00.000Z,554,2005
2005 MAY,2005 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,558,2005
2005 JUN,2005 MAY-JUL,June,,LMS,2016-03-16T09:30:00.000Z,553,2005
2005 JUL,2005 JUN-AUG,July,,LMS,2016-03-16T09:30:00.000Z,546,2005
2005 AUG,2005 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,545,2005
2005 SEP,2005 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,531,2005
2005 OCT,2005 SEP-NOV,October,,LMS,2018-04-16T23:00:00.000Z,525,2005
2005 NOV,2005 OCT-DEC,November,,LMS,2022-04-11T23:00:00.000Z,528,2005
2005 DEC,2005 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,530,2005
2006 JAN,2005 DEC-FEB,January,,LMS,2021-04-19T23:00:00.000Z,528,2006
2006 FEB,2006 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,520,2006
2006 MAR,2006 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,519,2006
2006 APR,2006 MAR-MAY,April,,LMS,2021-04-19T23:00:00.000Z,517,2006
2006 MAY,2006 APR-JUN,May,,LMS,2018-04-16T23:00:00.000Z,524,2006
2006 JUN,2006 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,528,2006
2006 JUL,2006 JUN-AUG,July,,LMS,2022-04-11T23:00:00.000Z,531,2006
2006 AUG,2006 JUL-SEP,August,,LMS,2018-04-16T23:00:00.000Z,532,2006
2006 SEP,2006 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,539,2006
2006 OCT,2006 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,540,2006
2006 NOV,2006 OCT-DEC,November,,LMS,2022-04-11T23:00:00.000Z,540,2006
2006 DEC,2006 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,537,2006
2007 JAN,2006 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,543,2007
2007 FEB,2007 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,552,2007
2007 MAR,2007 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,561,2007
2007 APR,2007 MAR-MAY,April,,LMS,2018-04-16T23:00:00.000Z,566,2007
2007 MAY,2007 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,575,2007
2007 JUN,2007 MAY-JUL,June,,LMS,2016-03-16T09:30:00.000Z,578,2007
2007 JUL,2007 JUN-AUG,July,,LMS,2022-04-11T23:00:00.000Z,589,2007
2007 AUG,2007 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,589,2007
2007 SEP,2007 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,590,2007
2007 OCT,2007 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,595,2007
2007 NOV,2007 OCT-DEC,November,,LMS,2022-04-11T23:00:00.000Z,592,2007
2007 DEC,2007 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,585,2007
2008 JAN,2007 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,593,2008
2008 FEB,2008 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,603,2008
2008 MAR,2008 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,604,2008
2008 APR,2008 MAR-MAY,April,,LMS,2016-03-16T09:30:00.000Z,589,2008
2008 MAY,2008 APR-JUN,May,,LMS,2016-03-16T09:30:00.000Z,568,2008
2008 JUN,2008 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,557,2008
2008 JUL,2008 JUN-AUG,July,,LMS,2022-04-11T23:00:00.000Z,543,2008
2008 AUG,2008 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,538,2008
2008 SEP,2008 AUG-OCT,September,,LMS,2021-04-19T23:00:00.000Z,525,2008
2008 OCT,2008 SEP-NOV,October,,LMS,2018-04-16T23:00:00.000Z,500,2008
2008 NOV,2008 OCT-DEC,November,,LMS,2022-04-11T23:00:00.000Z,471,2008
2008 DEC,2008 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,444,2008
2009 JAN,2008 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,427,2009
2009 FEB,2009 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,416,2009
2009 MAR,2009 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,409,2009
2009 APR,2009 MAR-MAY,April,,LMS,2022-04-11T23:00:00.000Z,399,2009
2009 MAY,2009 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,388,2009
2009 JUN,2009 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,386,2009
2009 JUL,2009 JUN-AUG,July,,LMS,2022-04-11T23:00:00.000Z,397,2009
2009 AUG,2009 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,394,2009
2009 SEP,2009 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,393,2009
2009 OCT,2009 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,396,2009
2009 NOV,2009 OCT-DEC,November,,LMS,2022-04-11T23:00:00.000Z,411,2009
2009 DEC,2009 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,418,2009
2010 JAN,2009 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,424,2010
2010 FEB,2010 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,421,2010
2010 MAR,2010 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,428,2010
2010 APR,2010 MAR-MAY,April,,LMS,2022-04-11T23:00:00.000Z,433,2010
2010 MAY,2010 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,437,2010
2010 JUN,2010 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,427,2010
2010 JUL,2010 JUN-AUG,July,,LMS,2018-04-16T23:00:00.000Z,413,2010
2010 AUG,2010 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,407,2010
2010 SEP,2010 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,407,2010
2010 OCT,2010 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,424,2010
2010 NOV,2010 OCT-DEC,November,,LMS,2021-04-19T23:00:00.000Z,430,2010
2010 DEC,2010 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,440,2010
2011 JAN,2010 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,433,2011
2011 FEB,2011 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,425,2011
2011 MAR,2011 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,412,2011
2011 APR,2011 MAR-MAY,April,,LMS,2016-03-16T09:30:00.000Z,404,2011
2011 MAY,2011 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,406,2011
2011 JUN,2011 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,404,2011
2011 JUL,2011 JUN-AUG,July,,LMS,2016-03-16T09:30:00.000Z,411,2011
2011 AUG,2011 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,412,2011
2011 SEP,2011 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,415,2011
2011 OCT,2011 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,410,2011
2011 NOV,2011 OCT-DEC,November,,LMS,2016-03-16T09:30:00.000Z,411,2011
2011 DEC,2011 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,415,2011
2012 JAN,2011 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,413,2012
2012 FEB,2012 JAN-MAR,February,,LMS,2022-04-11T23:00:00.000Z,408,2012
2012 MAR,2012 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,405,2012
2012 APR,2012 MAR-MAY,April,,LMS,2022-04-11T23:00:00.000Z,412,2012
2012 MAY,2012 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,415,2012
2012 JUN,2012 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,421,2012
2012 JUL,2012 JUN-AUG,July,,LMS,2018-04-16T23:00:00.000Z,428,2012
2012 AUG,2012 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,430,2012
2012 SEP,2012 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,432,2012
2012 OCT,2012 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,436,2012
2012 NOV,2012 OCT-DEC,November,,LMS,2022-04-11T23:00:00.000Z,444,2012
2012 DEC,2012 NOV-JAN,December,,LMS,2022-04-11T23:00:00.000Z,445,2012
2013 JAN,2012 DEC-FEB,January,,LMS,2022-04-11T23:00:00.000Z,448,2013
2013 FEB,2013 JAN-MAR,February,,LMS,2018-04-16T23:00:00.000Z,447,2013
2013 MAR,2013 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,459,2013
2013 APR,2013 MAR-MAY,April,,LMS,2022-04-11T23:00:00.000Z,463,2013
2013 MAY,2013 APR-JUN,May,,LMS,2022-04-11T23:00:00.000Z,473,2013
2013 JUN,2013 MAY-JUL,June,,LMS,2022-04-11T23:00:00.000Z,479,2013
2013 JUL,2013 JUN-AUG,July,,LMS,2019-04-15T23:00:00.000Z,479,2013
2013 AUG,2013 JUL-SEP,August,,LMS,2022-04-11T23:00:00.000Z,490,2013
2013 SEP,2013 AUG-OCT,September,,LMS,2022-04-11T23:00:00.000Z,494,2013
2013 OCT,2013 SEP-NOV,October,,LMS,2022-04-11T23:00:00.000Z,506,2013
2013 NOV,2013 OCT-DEC,November,,LMS,2018-04-16T23:00:00.000Z,508,2013
2013 DEC,2013 NOV-JAN,December,,LMS,2019-04-15T23:00:00.000Z,517,2013
2014 JAN,2013 DEC-FEB,January,,LMS,2017-04-11T23:00:00.000Z,530,2014
2014 FEB,2014 JAN-MAR,February,,LMS,2021-04-19T23:00:00.000Z,545,2014
2014 MAR,2014 FEB-APR,March,,LMS,2022-04-11T23:00:00.000Z,562,2014
