dt,Lower48
2012-10-26T00:00:00,3.0055365146322233
2012-11-02T00:00:00,2.5587467362924388
2012-11-09T00:00:00,1.716961498439118
2012-11-16T00:00:00,0.5190760446405429
2012-11-23T00:00:00,0.6753246753246733
2012-11-30T00:00:00,-0.6788511749347248
2012-12-07T00:00:00,2.0648967551622377
2012-12-14T00:00:00,2.6460859977949225
2012-12-21T00:00:00,2.9594137542277243
2012-12-28T00:00:00,1.3252664938058212
2013-01-04T00:00:00,-1.8063369854900757
2013-01-11T00:00:00,-3.7386018237082097
2013-01-18T00:00:00,-3.2924467398321444
2013-01-25T00:00:00,-5.5293324342548855
2013-02-01T00:00:00,-7.0637119113573394
2013-02-08T00:00:00,-8.511408909815287
2013-02-15T00:00:00,-7.514450867052025
2013-02-22T00:00:00,-11.301233585356151
2013-03-01T00:00:00,-14.426633785450061
2013-03-08T00:00:00,-18.19333051920642
2013-03-15T00:00:00,-21.176470588235297
2013-03-22T00:00:00,-26.677645121449157
2013-03-29T00:00:00,-31.75566343042071
2013-04-05T00:00:00,-32.445520581113804
2013-04-12T00:00:00,-31.88174190970835
2013-04-19T00:00:00,-31.893165750196385
2013-04-26T00:00:00,-31.055900621118017
2013-05-03T00:00:00,-28.396009209516503
2013-05-10T00:00:00,-26.359205099362583
2013-05-17T00:00:00,-25.218658892128275
2013-05-24T00:00:00,-23.907637655417403
2013-05-31T00:00:00,-21.724018074383032
2013-06-07T00:00:00,-20.278532608695656
2013-06-14T00:00:00,-18.862275449101794
2013-06-21T00:00:00,-17.303297420829256
2013-06-28T00:00:00,-15.989684074790455
2013-07-05T00:00:00,-14.290271132376397
2013-07-12T00:00:00,-13.21530192854885
2013-07-19T00:00:00,-12.664576802507831
2013-07-26T00:00:00,-11.563568542119985
2013-08-02T00:00:00,-9.259259259259256
2013-08-09T00:00:00,-7.789021772462434
2013-08-16T00:00:00,-7.4062877871825865
2013-08-23T00:00:00,-7.202133965619439
2013-08-30T00:00:00,-6.261022927689597
2013-09-06T00:00:00,-5.13269174686497
2013-09-13T00:00:00,-5.635011441647597
2013-09-20T00:00:00,-5.341163310961972
2013-09-27T00:00:00,-4.570333880678712
2013-10-04T00:00:00,-3.998926462694574
2013-10-11T00:00:00,-3.204449152542377
2013-10-18T00:00:00,-2.654176424668231
2013-10-25T00:00:00,-3.2761709751727652
2013-11-01T00:00:00,-2.851323828920571
2013-11-08T00:00:00,-1.9437340153452665
2013-11-15T00:00:00,-2.1688613477924057
2013-11-22T00:00:00,-2.605779153766774
2013-11-29T00:00:00,-5.021030494216616
2013-12-06T00:00:00,-7.17288491854966
2013-12-13T00:00:00,-12.781954887218049
2013-12-20T00:00:00,-15.9321105940323
2013-12-27T00:00:00,-15.410861529712827
2014-01-03T00:00:00,-15.048250904704464
2014-01-10T00:00:00,-20.14524786864541
2014-01-17T00:00:00,-19.092122830440584
2014-01-24T00:00:00,-22.055674518201286
2014-01-31T00:00:00,-28.315946348733235
2014-02-07T00:00:00,-32.97703879651623
2014-02-14T00:00:00,-39.83333333333333
2014-02-21T00:00:00,-39.52445042620008
2014-02-28T00:00:00,-42.5552353506244
2014-03-07T00:00:00,-48.297213622291025
2014-03-14T00:00:00,-49.200426439232416
2014-03-21T00:00:00,-49.74733295901179
2014-03-28T00:00:00,-51.155898043864845
2014-04-04T00:00:00,-50.597371565113505
2014-04-11T00:00:00,-50.146627565982406
2014-04-18T00:00:00,-48.15455594002307
2014-04-25T00:00:00,-44.76351351351351
2014-05-02T00:00:00,-43.461950696677384
2014-05-09T00:00:00,-40.936863543788185
2014-05-16T00:00:00,-38.25536062378168
2014-05-23T00:00:00,-35.574229691876745
2014-05-30T00:00:00,-33.43694493783303
2014-06-06T00:00:00,-31.52961227098423
2014-06-13T00:00:00,-29.520295202952028
2014-06-20T00:00:00,-27.79313067508883
2014-06-27T00:00:00,-26.016884113584037
2014-07-04T00:00:00,-24.711574246371416
2014-07-11T00:00:00,-22.47723132969035
2014-07-18T00:00:00,-20.351758793969854
2014-07-25T00:00:00,-18.9103690685413
2014-08-01T00:00:00,-18.775510204081634
2014-08-08T00:00:00,-17.958097771865646
2014-08-15T00:00:00,-16.585047339209925
2014-08-22T00:00:00,-15.969338869370809
2014-08-29T00:00:00,-15.051740357478838
2014-09-05T00:00:00,-13.894866277282514
2014-09-12T00:00:00,-12.397696271597457
2014-09-19T00:00:00,-11.728212703101926
2014-09-26T00:00:00,-11.127043303699457
2014-10-03T00:00:00,-10.399776348895717
2014-10-10T00:00:00,-9.76744186046512
2014-10-17T00:00:00,-9.302325581395355
2014-10-24T00:00:00,-7.912146070388992
2014-10-31T00:00:00,-6.420335429769397
2014-11-07T00:00:00,-5.816379760041734
2014-11-14T00:00:00,-5.1464766429137
2014-11-21T00:00:00,-9.086092715231786
2014-11-28T00:00:00,-5.61859950179906
2014-12-05T00:00:00,-4.924992923860739
2014-12-12T00:00:00,1.4778325123152802
2014-12-19T00:00:00,5.698469553891239
2014-12-26T00:00:00,8.23529411764705
2015-01-02T00:00:00,9.655662051828195
2015-01-09T00:00:00,12.85092922103599
2015-01-16T00:00:00,8.787128712871283
2015-01-23T00:00:00,16.437728937728945
2015-01-30T00:00:00,26.195426195426187
2015-02-06T00:00:00,33.96337861783816
2015-02-13T00:00:00,49.44598337950139
2015-02-20T00:00:00,43.76854599406528
2015-02-27T00:00:00,42.89297658862876
2015-03-06T00:00:00,50.79840319361277
2015-03-13T00:00:00,54.039874081846804
2015-03-20T00:00:00,65.25139664804469
2015-03-27T00:00:00,77.30582524271846
2015-04-03T00:00:00,78.47642079806529
2015-04-10T00:00:00,81.05882352941177
2015-04-17T00:00:00,81.0901001112347
2015-04-24T00:00:00,74.4138634046891
2015-05-01T00:00:00,69.19431279620854
2015-05-08T00:00:00,63.53448275862068
2015-05-15T00:00:00,56.985003946329904
2015-05-22T00:00:00,52.24637681159421
2015-05-29T00:00:00,48.965977318212154
2015-06-05T00:00:00,45.86185438705663
2015-06-12T00:00:00,41.53577661431065
2015-06-19T00:00:00,37.014762165117546
2015-06-26T00:00:00,33.765560165975096
2015-07-03T00:00:00,31.784478497281256
2015-07-10T00:00:00,29.887218045112785
2015-07-17T00:00:00,27.21946822893195
2015-07-24T00:00:00,24.49068053749459
2015-07-31T00:00:00,21.85929648241205
2015-08-07T00:00:00,20.591811917308476
2015-08-14T00:00:00,18.473581213307245
2015-08-21T00:00:00,17.597871531736974
2015-08-28T00:00:00,17.755629383536366
2015-09-04T00:00:00,16.4584077115316
2015-09-11T00:00:00,15.432525951557086
2015-09-18T00:00:00,15.160642570281135
2015-09-25T00:00:00,14.133591481122942
2015-10-02T00:00:00,13.385335413416533
2015-10-09T00:00:00,13.129169193450574
2015-10-16T00:00:00,12.378426171529622
2015-10-23T00:00:00,11.350574712643668
2015-10-30T00:00:00,10.081209745169417
2015-11-06T00:00:00,10.357241761284964
2015-11-13T00:00:00,11.296605453533658
2015-11-20T00:00:00,16.812354312354305
2015-11-27T00:00:00,16.011730205278596
2015-12-04T00:00:00,15.510568621613574
2015-12-11T00:00:00,16.6868932038835
2015-12-18T00:00:00,17.498459642637098
2015-12-25T00:00:00,16.64596273291925
2016-01-01T00:00:00,17.93460666882487
2016-01-08T00:00:00,21.758934828311148
2016-01-15T00:00:00,25.02844141069398
2016-01-22T00:00:00,21.352732992528512
