iyear,Attack Count,weaptype1_txt
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Incendiary
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Unknown
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Unknown
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Melee
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Firearms
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Unknown
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2005,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Melee
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Firearms
2006,1,Firearms
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
2006,1,Explosives/Bombs/Dynamite
