date,label,month,quarter,sourceDataset,updateDate,value,year
1992,1992,,,LMS,2015-10-13T23:00:00.000Z,1016,1992
1993,1993,,,LMS,2015-10-13T23:00:00.000Z,1254,1993
1994,1994,,,LMS,2015-10-13T23:00:00.000Z,1180,1994
1995,1995,,,LMS,2015-10-13T23:00:00.000Z,1024,1995
1996,1996,,,LMS,2015-10-13T23:00:00.000Z,895,1996
1997,1997,,,LMS,2015-10-13T23:00:00.000Z,713,1997
1998,1998,,,LMS,2015-10-13T23:00:00.000Z,542,1998
1999,1999,,,LMS,2015-10-13T23:00:00.000Z,493,1999
2000,2000,,,LMS,2015-10-13T23:00:00.000Z,426,2000
2001,2001,,,LMS,2015-10-13T23:00:00.000Z,370,2001
2002,2002,,,LMS,2015-10-13T23:00:00.000Z,326,2002
2003,2003,,,LMS,2015-10-13T23:00:00.000Z,318,2003
2004,2004,,,LMS,2015-10-13T23:00:00.000Z,287,2004
2005,2005,,,LMS,2015-10-13T23:00:00.000Z,308,2005
2006,2006,,,LMS,2015-10-13T23:00:00.000Z,372,2006
2007,2007,,,LMS,2015-10-13T23:00:00.000Z,391,2007
2008,2008,,,LMS,2015-10-13T23:00:00.000Z,428,2008
2009,2009,,,LMS,2015-10-13T23:00:00.000Z,588,2009
2010,2010,,,LMS,2015-10-13T23:00:00.000Z,808,2010
2011,2011,,,LMS,2015-10-13T23:00:00.000Z,862,2011
2012,2012,,,LMS,2019-02-19T00:00:00.000Z,890,2012
2013,2013,,,LMS,2019-02-19T00:00:00.000Z,890,2013
2014,2014,,,LMS,2015-10-13T23:00:00.000Z,721,2014
2015,2015,,,LMS,2016-05-18T08:30:00.000Z,543,2015
2016,2016,,,LMS,2017-02-15T00:00:00.000Z,438,2016
2017,2017,,,LMS,2019-02-19T00:00:00.000Z,379,2017
2018,2018,,,LMS,2019-02-19T00:00:00.000Z,358,2018
2019,2019,,,LMS,2020-02-18T00:00:00.000Z,322,2019
2020,2020,,,LMS,2022-08-15T23:00:00.000Z,312,2020
2021,2021,,,LMS,2022-08-15T23:00:00.000Z,429,2021
