areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate
E12000001,North East,region,2023-12-09,7.2
E12000001,North East,region,2023-12-08,7.1
E12000001,North East,region,2023-12-07,6.3
E12000001,North East,region,2023-12-06,5.9
E12000001,North East,region,2023-12-05,5.5
E12000001,North East,region,2023-12-04,5.6
E12000001,North East,region,2023-12-03,4.9
E12000001,North East,region,2023-12-02,4.4
E12000001,North East,region,2023-12-01,4.6
E12000001,North East,region,2023-11-30,4.7
E12000001,North East,region,2023-11-29,4.7
E12000001,North East,region,2023-11-28,5.0
E12000001,North East,region,2023-11-27,4.9
E12000001,North East,region,2023-11-26,5.4
E12000001,North East,region,2023-11-25,5.6
E12000001,North East,region,2023-11-24,5.7
E12000001,North East,region,2023-11-23,5.9
E12000001,North East,region,2023-11-22,6.2
E12000001,North East,region,2023-11-21,5.9
E12000001,North East,region,2023-11-20,6.3
E12000001,North East,region,2023-11-19,6.3
E12000001,North East,region,2023-11-18,6.5
E12000001,North East,region,2023-11-17,6.2
E12000001,North East,region,2023-11-16,5.7
E12000001,North East,region,2023-11-15,5.6
E12000001,North East,region,2023-11-14,6.2
E12000001,North East,region,2023-11-13,6.3
E12000001,North East,region,2023-11-12,6.3
E12000001,North East,region,2023-11-11,6.9
E12000001,North East,region,2023-11-10,8.1
E12000001,North East,region,2023-11-09,8.6
E12000001,North East,region,2023-11-08,9.3
E12000001,North East,region,2023-11-07,9.5
E12000001,North East,region,2023-11-06,10.3
E12000001,North East,region,2023-11-05,10.5
E12000001,North East,region,2023-11-04,10.9
E12000001,North East,region,2023-11-03,10.9
E12000001,North East,region,2023-11-02,11.8
E12000001,North East,region,2023-11-01,12.4
E12000001,North East,region,2023-10-31,12.5
E12000001,North East,region,2023-10-30,12.4
E12000001,North East,region,2023-10-29,13.1
E12000001,North East,region,2023-10-28,13.1
E12000001,North East,region,2023-10-27,13.2
E12000001,North East,region,2023-10-26,13.3
E12000001,North East,region,2023-10-25,14.0
E12000001,North East,region,2023-10-24,15.5
E12000001,North East,region,2023-10-23,16.3
E12000001,North East,region,2023-10-22,17.9
E12000001,North East,region,2023-10-21,18.6
E12000001,North East,region,2023-10-20,18.9
E12000001,North East,region,2023-10-19,19.7
