category,count,pacbioRun,library
aligned PacBio_amplicon,27382,LibA_211105,LibA
filtered PacBio_amplicon,5263,LibA_211105,LibA
unmapped,560,LibA_211105,LibA
aligned PacBio_amplicon,28415,LibB_211105,LibB
filtered PacBio_amplicon,4334,LibB_211105,LibB
unmapped,456,LibB_211105,LibB
aligned PacBio_amplicon,26910,LibA_220124,LibA
filtered PacBio_amplicon,5649,LibA_220124,LibA
unmapped,646,LibA_220124,LibA
aligned PacBio_amplicon,28150,LibB_220124,LibB
filtered PacBio_amplicon,4519,LibB_220124,LibB
unmapped,536,LibB_220124,LibB
