areaCode,areaName,areaType,date,uniqueCasePositivityBySpecimenDateRollingSum
E12000001,North East,region,2023-07-26,7.0
E12000001,North East,region,2023-07-25,6.7
E12000001,North East,region,2023-07-24,6.7
E12000001,North East,region,2023-07-23,5.7
E12000001,North East,region,2023-07-22,5.8
E12000001,North East,region,2023-07-21,6.1
E12000001,North East,region,2023-07-20,6.0
E12000001,North East,region,2023-07-19,6.4
E12000001,North East,region,2023-07-18,5.8
E12000001,North East,region,2023-07-17,4.9
E12000001,North East,region,2023-07-16,4.2
E12000001,North East,region,2023-07-15,4.5
E12000001,North East,region,2023-07-14,4.3
E12000001,North East,region,2023-07-13,4.1
E12000001,North East,region,2023-07-12,3.9
E12000001,North East,region,2023-07-11,4.0
E12000001,North East,region,2023-07-10,4.1
E12000001,North East,region,2023-07-09,4.5
E12000001,North East,region,2023-07-08,4.4
E12000001,North East,region,2023-07-07,4.5
E12000001,North East,region,2023-07-06,4.5
E12000001,North East,region,2023-07-05,4.5
E12000001,North East,region,2023-07-04,4.7
E12000001,North East,region,2023-07-03,4.2
E12000001,North East,region,2023-07-02,4.1
E12000001,North East,region,2023-07-01,3.8
E12000001,North East,region,2023-06-30,3.4
E12000001,North East,region,2023-06-29,3.6
E12000001,North East,region,2023-06-28,3.2
E12000001,North East,region,2023-06-27,3.2
E12000001,North East,region,2023-06-26,3.4
E12000001,North East,region,2023-06-25,3.2
E12000001,North East,region,2023-06-24,3.4
E12000001,North East,region,2023-06-23,3.9
E12000001,North East,region,2023-06-22,4.0
E12000001,North East,region,2023-06-21,4.5
E12000001,North East,region,2023-06-20,5.2
E12000001,North East,region,2023-06-19,5.5
E12000001,North East,region,2023-06-18,6.1
E12000001,North East,region,2023-06-17,5.9
E12000001,North East,region,2023-06-16,5.7
E12000001,North East,region,2023-06-15,6.0
E12000001,North East,region,2023-06-14,5.8
E12000001,North East,region,2023-06-13,5.6
E12000001,North East,region,2023-06-12,6.4
E12000001,North East,region,2023-06-11,6.6
E12000001,North East,region,2023-06-10,6.6
E12000001,North East,region,2023-06-09,7.6
E12000001,North East,region,2023-06-08,8.2
E12000001,North East,region,2023-06-07,8.8
E12000001,North East,region,2023-06-06,9.2
E12000001,North East,region,2023-06-05,8.4
E12000001,North East,region,2023-06-04,8.5
E12000001,North East,region,2023-06-03,8.8
E12000001,North East,region,2023-06-02,8.1
E12000001,North East,region,2023-06-01,8.2
E12000001,North East,region,2023-05-31,8.4
E12000001,North East,region,2023-05-30,9.0
E12000001,North East,region,2023-05-29,9.8
E12000001,North East,region,2023-05-28,9.2
E12000001,North East,region,2023-05-27,9.0
E12000001,North East,region,2023-05-26,9.2
E12000001,North East,region,2023-05-25,9.4
E12000001,North East,region,2023-05-24,8.6
E12000001,North East,region,2023-05-23,7.8
E12000001,North East,region,2023-05-22,7.1
E12000001,North East,region,2023-05-21,7.0
E12000001,North East,region,2023-05-20,7.2
E12000001,North East,region,2023-05-19,7.0
E12000001,North East,region,2023-05-18,6.4
E12000001,North East,region,2023-05-17,7.1
E12000001,North East,region,2023-05-16,7.9
E12000001,North East,region,2023-05-15,8.9
E12000001,North East,region,2023-05-14,9.9
E12000001,North East,region,2023-05-13,9.9
E12000001,North East,region,2023-05-12,10.5
E12000001,North East,region,2023-05-11,11.1
E12000001,North East,region,2023-05-10,11.3
E12000001,North East,region,2023-05-09,10.9
E12000001,North East,region,2023-05-08,10.5
E12000001,North East,region,2023-05-07,10.6
E12000001,North East,region,2023-05-06,10.6
E12000001,North East,region,2023-05-05,10.4
E12000001,North East,region,2023-05-04,10.2
E12000001,North East,region,2023-05-03,9.6
E12000001,North East,region,2023-05-02,9.8
E12000001,North East,region,2023-05-01,9.6
E12000001,North East,region,2023-04-30,9.1
E12000001,North East,region,2023-04-29,8.8
E12000001,North East,region,2023-04-28,8.6
E12000001,North East,region,2023-04-27,8.9
E12000001,North East,region,2023-04-26,9.3
E12000001,North East,region,2023-04-25,9.6
E12000001,North East,region,2023-04-24,10.9
E12000001,North East,region,2023-04-23,11.4
E12000001,North East,region,2023-04-22,11.7
E12000001,North East,region,2023-04-21,12.2
E12000001,North East,region,2023-04-20,12.7
E12000001,North East,region,2023-04-19,12.8
E12000001,North East,region,2023-04-18,13.5
E12000001,North East,region,2023-04-17,13.4
E12000001,North East,region,2023-04-16,13.3
E12000001,North East,region,2023-04-15,13.5
E12000001,North East,region,2023-04-14,13.4
E12000001,North East,region,2023-04-13,13.6
E12000001,North East,region,2023-04-12,14.0
E12000001,North East,region,2023-04-11,13.5
E12000001,North East,region,2023-04-10,12.5
E12000001,North East,region,2023-04-09,12.9
E12000001,North East,region,2023-04-08,13.1
E12000001,North East,region,2023-04-07,13.3
E12000001,North East,region,2023-04-06,13.3
E12000001,North East,region,2023-04-05,12.7
E12000001,North East,region,2023-04-04,11.9
E12000001,North East,region,2023-04-03,11.4
E12000001,North East,region,2023-04-02,10.4
E12000001,North East,region,2023-04-01,10.3
E12000001,North East,region,2023-03-31,10.3
E12000001,North East,region,2023-03-30,10.4
E12000001,North East,region,2023-03-29,10.6
E12000001,North East,region,2023-03-28,10.6
E12000001,North East,region,2023-03-27,10.6
E12000001,North East,region,2023-03-26,10.2
E12000001,North East,region,2023-03-25,10.1
E12000001,North East,region,2023-03-24,10.2
E12000001,North East,region,2023-03-23,10.0
E12000001,North East,region,2023-03-22,9.8
E12000001,North East,region,2023-03-21,10.3
E12000001,North East,region,2023-03-20,10.7
E12000001,North East,region,2023-03-19,11.2
