date,label,month,quarter,sourceDataset,updateDate,value,year
1987,1987,,,PB,2015-10-30T00:00:00.000Z,7132,1987
1988,1988,,,PB,2015-10-30T00:00:00.000Z,13440,1988
1989,1989,,,PB,2015-10-30T00:00:00.000Z,13071,1989
1990,1990,,,PB,2015-10-30T00:00:00.000Z,23224,1990
1991,1991,,,PB,2015-10-30T00:00:00.000Z,11704,1991
1992,1992,,,PB,2015-10-30T00:00:00.000Z,13520,1992
1993,1993,,,PB,2015-10-30T00:00:00.000Z,13385,1993
1994,1994,,,PB,2015-10-30T00:00:00.000Z,12359,1994
1995,1995,,,PB,2015-10-30T00:00:00.000Z,19486,1995
1996,1996,,,PB,2015-10-30T00:00:00.000Z,21196,1996
1997,1997,,,PB,2015-10-30T00:00:00.000Z,28384,1997
1998,1998,,,PB,2015-10-30T00:00:00.000Z,60838,1998
1999,1999,,,PB,2015-10-30T00:00:00.000Z,80277,1999
2000,2000,,,PB,2015-10-30T00:00:00.000Z,107999,2000
2001,2001,,,PB,2015-10-30T00:00:00.000Z,38880,2001
2002,2002,,,PB,2015-10-30T00:00:00.000Z,58620,2002
2003,2003,,,PB,2015-10-30T00:00:00.000Z,21999,2003
2004,2004,,,PB,2015-10-30T00:00:00.000Z,47627,2004
2005,2005,,,PB,2015-10-30T00:00:00.000Z,139680,2005
2006,2006,,,PB,2015-10-30T00:00:00.000Z,112995,2006
2007,2007,,,PB,2015-10-30T00:00:00.000Z,104577,2007
2008,2008,,,PB,2015-10-30T00:00:00.000Z,142411,2008
2009,2009,,,PB,2015-10-30T00:00:00.000Z,6217,2009
2010,2010,,,PB,2015-10-30T00:00:00.000Z,42310,2010
2011,2011,,,PB,2015-10-30T00:00:00.000Z,16637,2011
2012,2012,,,PB,2015-10-30T00:00:00.000Z,29658,2012
2013,2013,,,PB,2016-07-28T23:00:00.000Z,35770,2013
2014,2014,,,PB,2017-10-31T00:00:00.000Z,36427,2014
2015,2015,,,PB,2018-07-30T23:00:00.000Z,30086,2015
2016,2016,,,PB,2019-10-31T00:00:00.000Z,243714,2016
2017,2017,,,PB,2020-10-30T00:00:00.000Z,97772,2017
2018,2018,,,PB,2021-10-28T23:00:00.000Z,-17913,2018
2019,2019,,,PB,2022-10-31T00:00:00.000Z,16826,2019
2020,2020,,,PB,2022-10-31T00:00:00.000Z,103515,2020
2021,2021,,,PB,2022-10-31T00:00:00.000Z,12721,2021
