category,count,pacbioRun,library
aligned PacBio_amplicon,1002852,A_220708,A
filtered PacBio_amplicon,336647,A_220708,A
unmapped,240348,A_220708,A
aligned PacBio_amplicon,924683,B_220708,B
filtered PacBio_amplicon,314493,B_220708,B
unmapped,678394,B_220708,B
