date,label,month,quarter,sourceDataset,updateDate,value,year
1998,1998,,,SRS,2015-09-01T23:00:00.000Z,4.3,1998
1999,1999,,,SRS,2015-09-01T23:00:00.000Z,11.0,1999
2000,2000,,,SRS,2015-09-01T23:00:00.000Z,14.7,2000
2001,2001,,,SRS,2015-09-01T23:00:00.000Z,11.1,2001
2002,2002,,,SRS,2015-09-01T23:00:00.000Z,13.9,2002
2003,2003,,,SRS,2015-09-01T23:00:00.000Z,16.5,2003
2004,2004,,,SRS,2015-09-01T23:00:00.000Z,23.0,2004
2005,2005,,,SRS,2015-09-01T23:00:00.000Z,,2005
2006,2006,,,SRS,2015-09-01T23:00:00.000Z,35.4,2006
2007,2007,,,SRS,2015-09-01T23:00:00.000Z,,2007
2008,2008,,,SRS,2015-09-01T23:00:00.000Z,21.6,2008
2009,2009,,,SRS,2015-09-01T23:00:00.000Z,,2009
2010,2010,,,srs,2017-11-29T00:00:00.000Z,27.5,2010
2011,2011,,,SRS,2015-09-01T23:00:00.000Z,,2011
2012,2012,,,srs,2017-11-29T00:00:00.000Z,16.9,2012
2013,2013,,,SRS,2015-09-01T23:00:00.000Z,,2013
2014,2014,,,srs,2017-11-29T00:00:00.000Z,11.8,2014
2015,2015,,,srs,2017-11-29T00:00:00.000Z,,2015
2016,2016,,,srs,2017-11-29T00:00:00.000Z,24.3,2016
2017,2017,,,srs,2020-01-14T00:00:00.000Z,,2017
2018,2018,,,srs,2022-03-03T00:00:00.000Z,27.7,2018
2019,2019,,,srs,2022-03-03T00:00:00.000Z,,2019
2020,2020,,,srs,2022-03-03T00:00:00.000Z,34.4,2020
