areaCode,areaName,areaType,date,newDeaths28DaysByPublishDate
E12000001,North East,region,2022-09-12,0
E12000001,North East,region,2022-09-11,0
E12000001,North East,region,2022-09-10,0
E12000001,North East,region,2022-09-09,0
E12000001,North East,region,2022-09-08,40
E12000001,North East,region,2022-09-07,0
E12000001,North East,region,2022-09-06,0
E12000001,North East,region,2022-09-05,0
E12000001,North East,region,2022-09-04,0
E12000001,North East,region,2022-09-03,0
E12000001,North East,region,2022-09-02,0
E12000001,North East,region,2022-09-01,0
E12000001,North East,region,2022-08-31,30
E12000001,North East,region,2022-08-30,0
E12000001,North East,region,2022-08-29,0
E12000001,North East,region,2022-08-28,0
E12000001,North East,region,2022-08-27,0
E12000001,North East,region,2022-08-26,0
E12000001,North East,region,2022-08-25,0
E12000001,North East,region,2022-08-24,28
E12000001,North East,region,2022-08-23,0
E12000001,North East,region,2022-08-22,0
E12000001,North East,region,2022-08-21,0
E12000001,North East,region,2022-08-20,0
E12000001,North East,region,2022-08-19,0
E12000001,North East,region,2022-08-18,0
E12000001,North East,region,2022-08-17,44
E12000001,North East,region,2022-08-16,0
E12000001,North East,region,2022-08-15,0
E12000001,North East,region,2022-08-14,0
E12000001,North East,region,2022-08-13,0
E12000001,North East,region,2022-08-12,0
E12000001,North East,region,2022-08-11,0
E12000001,North East,region,2022-08-10,56
E12000001,North East,region,2022-08-09,0
E12000001,North East,region,2022-08-08,0
E12000001,North East,region,2022-08-07,0
E12000001,North East,region,2022-08-06,0
E12000001,North East,region,2022-08-05,0
E12000001,North East,region,2022-08-04,0
E12000001,North East,region,2022-08-03,53
E12000001,North East,region,2022-08-02,0
E12000001,North East,region,2022-08-01,0
E12000001,North East,region,2022-07-31,0
E12000001,North East,region,2022-07-30,0
E12000001,North East,region,2022-07-29,0
E12000001,North East,region,2022-07-28,0
E12000001,North East,region,2022-07-27,61
E12000001,North East,region,2022-07-26,0
E12000001,North East,region,2022-07-25,0
E12000001,North East,region,2022-07-24,0
