library,variant_class,func_score,count,mean_func_score
Lib-1,1 nonsynonymous,-11.4838,3.868457626048094e-60,-0.6787553364315222
Lib-1,1 nonsynonymous,-11.160410204081632,5.019402574716319e-48,-0.6787553364315222
Lib-1,1 nonsynonymous,-10.837020408163266,2.047550963602749e-37,-0.6787553364315222
Lib-1,1 nonsynonymous,-10.5136306122449,2.625946780503889e-28,-0.6787553364315222
Lib-1,1 nonsynonymous,-10.190240816326531,1.0587799107673662e-20,-0.6787553364315222
Lib-1,1 nonsynonymous,-9.866851020408163,1.3421327432096906e-14,-0.6787553364315222
Lib-1,1 nonsynonymous,-9.543461224489796,5.34918828215988e-10,-0.6787553364315222
Lib-1,1 nonsynonymous,-9.22007142857143,6.714952422026064e-07,-0.6787553364315222
Lib-1,1 nonsynonymous,-8.896681632653062,2.772678968519752e-05,-0.6787553364315222
Lib-1,1 nonsynonymous,-8.573291836734693,9.1015050531857e-05,-0.6787553364315222
Lib-1,1 nonsynonymous,-8.249902040816327,0.00029184680960805807,-0.6787553364315222
Lib-1,1 nonsynonymous,-7.9265122448979595,0.00048410936972371257,-0.6787553364315222
Lib-1,1 nonsynonymous,-7.603122448979592,0.001228853434992647,-0.6787553364315222
Lib-1,1 nonsynonymous,-7.279732653061225,0.0025644933184950395,-0.6787553364315222
Lib-1,1 nonsynonymous,-6.956342857142857,0.004779817840013296,-0.6787553364315222
Lib-1,1 nonsynonymous,-6.63295306122449,0.007121047356872477,-0.6787553364315222
Lib-1,1 nonsynonymous,-6.309563265306123,0.011096419115491292,-0.6787553364315222
Lib-1,1 nonsynonymous,-5.986173469387755,0.013656756959433117,-0.6787553364315222
Lib-1,1 nonsynonymous,-5.662783673469388,0.01708432383162262,-0.6787553364315222
Lib-1,1 nonsynonymous,-5.339393877551021,0.018361265370931537,-0.6787553364315222
Lib-1,1 nonsynonymous,-5.016004081632653,0.021277946309444892,-0.6787553364315222
Lib-1,1 nonsynonymous,-4.692614285714286,0.02302424536031475,-0.6787553364315222
Lib-1,1 nonsynonymous,-4.3692244897959185,0.02391684971348984,-0.6787553364315222
Lib-1,1 nonsynonymous,-4.045834693877551,0.025245655910428193,-0.6787553364315222
Lib-1,1 nonsynonymous,-3.7224448979591838,0.028194093310380853,-0.6787553364315222
Lib-1,1 nonsynonymous,-3.3990551020408173,0.03488365464944853,-0.6787553364315222
Lib-1,1 nonsynonymous,-3.075665306122449,0.03957160562874745,-0.6787553364315222
Lib-1,1 nonsynonymous,-2.752275510204081,0.04589128902959864,-0.6787553364315222
Lib-1,1 nonsynonymous,-2.4288857142857143,0.05517498339520556,-0.6787553364315222
Lib-1,1 nonsynonymous,-2.105495918367348,0.07118925657794038,-0.6787553364315222
Lib-1,1 nonsynonymous,-1.7821061224489796,0.09509626876495687,-0.6787553364315222
Lib-1,1 nonsynonymous,-1.4587163265306113,0.13282741860098862,-0.6787553364315222
Lib-1,1 nonsynonymous,-1.1353265306122449,0.20052734416428364,-0.6787553364315222
Lib-1,1 nonsynonymous,-0.8119367346938784,0.2927527999459548,-0.6787553364315222
Lib-1,1 nonsynonymous,-0.48854693877551014,0.3907458585963831,-0.6787553364315222
Lib-1,1 nonsynonymous,-0.1651571428571419,0.4382732295086488,-0.6787553364315222
Lib-1,1 nonsynonymous,0.15823265306122458,0.4069925396808227,-0.6787553364315222
Lib-1,1 nonsynonymous,0.48162244897959106,0.30376054405239244,-0.6787553364315222
Lib-1,1 nonsynonymous,0.8050122448979593,0.1928776004577856,-0.6787553364315222
Lib-1,1 nonsynonymous,1.1284020408163276,0.10490898260999028,-0.6787553364315222
Lib-1,1 nonsynonymous,1.451791836734694,0.05246569006893823,-0.6787553364315222
Lib-1,1 nonsynonymous,1.7751816326530605,0.021716448295747065,-0.6787553364315222
Lib-1,1 nonsynonymous,2.0985714285714288,0.00820675916038818,-0.6787553364315222
